market_key,district,legal_dong,fallback_level,fallback_market_name,pool_market_keys,fallback_pool_apartments,fallback_pool_transactions,fallback_reason,original_apartments,original_transactions,original_sufficient,rmse,mae,model_confidence,attempted_fallback,selected_fallback_method,reason
강서구|강동동,강서구,강동동,1,강서구|강동동;강서구|명지동,"('강서구|강동동', '강서구|명지동')",26,1089,SAME_GU_SIMILAR_PROFILE,3,7,False,0.11848564754494618,0.09339161143972419,LOW,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
강서구|신호동,강서구,신호동,1,강서구|명지동;강서구|신호동,"('강서구|명지동', '강서구|신호동')",26,1117,SAME_GU_SIMILAR_PROFILE,3,35,False,0.12435187101814826,0.10338440248067826,MEDIUM,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
강서구|지사동,강서구,지사동,1,강서구|명지동;강서구|지사동;강서구|화전동,"('강서구|명지동', '강서구|지사동', '강서구|화전동')",27,1269,SAME_GU_SIMILAR_PROFILE,3,179,False,0.25190097939512907,0.23518640293909227,MEDIUM,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
강서구|화전동,강서구,화전동,1,강서구|명지동;강서구|지사동;강서구|화전동,"('강서구|명지동', '강서구|지사동', '강서구|화전동')",27,1269,SAME_GU_SIMILAR_PROFILE,1,8,False,0.19351397268408074,0.1824707498633427,LOW,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
금정구|청룡동,금정구,청룡동,1,금정구|구서동;금정구|청룡동,"('금정구|구서동', '금정구|청룡동')",8,264,SAME_GU_SIMILAR_PROFILE,1,14,False,0.3386958068754609,0.3098224631491771,LOW,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
기장군|기장읍,기장군,기장읍,1,기장군|기장읍;기장군|기장읍청강리;기장군|정관읍;기장군|정관읍매학리;기장군|철마면,"('기장군|기장읍', '기장군|기장읍청강리', '기장군|정관읍', '기장군|정관읍매학리', '기장군|철마면')",5,149,SAME_GU_SIMILAR_PROFILE,0,0,False,,,,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
기장군|기장읍교리,기장군,기장읍교리,1,기장군|기장읍교리;기장군|기장읍내리;기장군|정관읍용수리,"('기장군|기장읍교리', '기장군|기장읍내리', '기장군|정관읍용수리')",8,270,SAME_GU_SIMILAR_PROFILE,1,30,False,0.1490025786973299,0.13641287482617032,MEDIUM,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
기장군|기장읍내리,기장군,기장읍내리,1,기장군|기장읍교리;기장군|기장읍내리;기장군|일광읍삼성리,"('기장군|기장읍교리', '기장군|기장읍내리', '기장군|일광읍삼성리')",8,354,SAME_GU_SIMILAR_PROFILE,1,16,False,0.21381561029798465,0.2047476696126952,LOW,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
기장군|기장읍동부리,기장군,기장읍동부리,1,기장군|기장읍;기장군|기장읍동부리;기장군|기장읍서부리;기장군|기장읍청강리;기장군|정관읍;기장군|철마면,"('기장군|기장읍', '기장군|기장읍동부리', '기장군|기장읍서부리', '기장군|기장읍청강리', '기장군|정관읍', '기장군|철마면')",6,144,SAME_GU_SIMILAR_PROFILE,1,37,False,0.16427614313987057,0.14483261649174906,MEDIUM,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
기장군|기장읍서부리,기장군,기장읍서부리,1,기장군|기장읍서부리;기장군|기장읍청강리,"('기장군|기장읍서부리', '기장군|기장읍청강리')",5,107,SAME_GU_SIMILAR_PROFILE,1,19,False,0.09002129820605054,0.07683217453742414,MEDIUM,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
기장군|기장읍청강리,기장군,기장읍청강리,1,기장군|기장읍서부리;기장군|기장읍청강리,"('기장군|기장읍서부리', '기장군|기장읍청강리')",5,107,SAME_GU_SIMILAR_PROFILE,4,88,False,0.3000686411111991,0.26670031863760213,MEDIUM,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
기장군|일광읍,기장군,일광읍,1,기장군|일광읍;기장군|정관읍모전리,"('기장군|일광읍', '기장군|정관읍모전리')",6,236,SAME_GU_SIMILAR_PROFILE,0,0,False,,,,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
기장군|일광읍이천리,기장군,일광읍이천리,1,기장군|일광읍이천리;기장군|정관읍용수리,"('기장군|일광읍이천리', '기장군|정관읍용수리')",7,257,SAME_GU_SIMILAR_PROFILE,1,33,False,0.12593065014158333,0.10838768643509115,MEDIUM,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
기장군|정관읍,기장군,정관읍,1,기장군|기장읍;기장군|일광읍;기장군|정관읍;기장군|정관읍매학리;기장군|정관읍모전리;기장군|철마면,"('기장군|기장읍', '기장군|일광읍', '기장군|정관읍', '기장군|정관읍매학리', '기장군|정관읍모전리', '기장군|철마면')",7,297,SAME_GU_SIMILAR_PROFILE,0,0,False,,,,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
기장군|정관읍달산리,기장군,정관읍달산리,1,기장군|일광읍삼성리;기장군|정관읍달산리,"('기장군|일광읍삼성리', '기장군|정관읍달산리')",8,366,SAME_GU_SIMILAR_PROFILE,2,58,False,0.13940249714861933,0.12930909066235854,MEDIUM,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
기장군|정관읍매학리,기장군,정관읍매학리,1,기장군|일광읍;기장군|정관읍;기장군|정관읍매학리;기장군|정관읍모전리,"('기장군|일광읍', '기장군|정관읍', '기장군|정관읍매학리', '기장군|정관읍모전리')",7,297,SAME_GU_SIMILAR_PROFILE,1,61,False,0.10358981004497335,0.09729942256258081,MEDIUM,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
기장군|정관읍방곡리,기장군,정관읍방곡리,1,기장군|기장읍서부리;기장군|기장읍청강리;기장군|정관읍방곡리,"('기장군|기장읍서부리', '기장군|기장읍청강리', '기장군|정관읍방곡리')",6,128,SAME_GU_SIMILAR_PROFILE,1,21,False,0.1544400680655581,0.14200627328636062,MEDIUM,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
기장군|철마면,기장군,철마면,1,기장군|기장읍;기장군|일광읍;기장군|정관읍;기장군|정관읍매학리;기장군|정관읍모전리;기장군|철마면,"('기장군|기장읍', '기장군|일광읍', '기장군|정관읍', '기장군|정관읍매학리', '기장군|정관읍모전리', '기장군|철마면')",7,297,SAME_GU_SIMILAR_PROFILE,0,0,False,,,,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
남구|감만동,남구,감만동,1,남구|감만동;남구|문현동;남구|용당동,"('남구|감만동', '남구|문현동', '남구|용당동')",11,399,SAME_GU_SIMILAR_PROFILE,2,31,False,0.23245784149188448,0.1960142326469904,MEDIUM,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
남구|용당동,남구,용당동,1,남구|문현동;남구|용당동,"('남구|문현동', '남구|용당동')",9,368,SAME_GU_SIMILAR_PROFILE,2,39,False,0.12265358371818529,0.09007815109079331,MEDIUM,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
남구|우암동,남구,우암동,2,남구|감만동;남구|대연동;남구|문현동;남구|용당동;남구|용호동;남구|우암동,"('남구|감만동', '남구|대연동', '남구|문현동', '남구|용당동', '남구|용호동', '남구|우암동')",33,2113,SAME_GU,1,17,False,0.2550289441322027,0.23642857641993498,LOW,F1/F2/F3,F3,SAME_GU
동구|범일동,동구,범일동,1,동구|범일동;동구|수정동,"('동구|범일동', '동구|수정동')",5,208,SAME_GU_SIMILAR_PROFILE,4,179,False,0.17703031562493005,0.1333740949126417,MEDIUM,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
동구|수정동,동구,수정동,1,동구|범일동;동구|수정동,"('동구|범일동', '동구|수정동')",5,208,SAME_GU_SIMILAR_PROFILE,1,29,False,0.10459848337629168,0.0871216309820108,MEDIUM,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
동구|좌천동,동구,좌천동,1,동구|범일동;동구|좌천동,"('동구|범일동', '동구|좌천동')",5,202,SAME_GU_SIMILAR_PROFILE,1,23,False,0.05968298150374601,0.04970403148958374,MEDIUM,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
동구|초량동,동구,초량동,1,동구|범일동;동구|초량동,"('동구|범일동', '동구|초량동')",6,265,SAME_GU_SIMILAR_PROFILE,2,86,False,0.14491506732554638,0.11330401532867429,MEDIUM,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
동래구|명장동,동래구,명장동,1,동래구|명장동;동래구|온천동,"('동래구|명장동', '동래구|온천동')",11,779,SAME_GU_SIMILAR_PROFILE,2,132,False,0.1474772347341487,0.11207071901498461,MEDIUM,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
동래구|복천동,동래구,복천동,1,동래구|복천동;동래구|안락동,"('동래구|복천동', '동래구|안락동')",7,283,SAME_GU_SIMILAR_PROFILE,1,20,False,0.15983597894153215,0.1314886778320922,LOW,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
부산진구|가야동,부산진구,가야동,1,부산진구|가야동;부산진구|초읍동,"('부산진구|가야동', '부산진구|초읍동')",6,295,SAME_GU_SIMILAR_PROFILE,4,156,False,0.33320867066247295,0.28846498769629225,MEDIUM,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
부산진구|범전동,부산진구,범전동,1,부산진구|가야동;부산진구|범전동,"('부산진구|가야동', '부산진구|범전동')",5,228,SAME_GU_SIMILAR_PROFILE,1,72,False,0.08097131606803676,0.062233902912034185,MEDIUM,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
부산진구|부전동,부산진구,부전동,2,부산진구|가야동;부산진구|개금동;부산진구|당감동;부산진구|범전동;부산진구|범천동;부산진구|부암동;부산진구|부전동;부산진구|양정동;부산진구|연지동;부산진구|전포동;부산진구|초읍동,"('부산진구|가야동', '부산진구|개금동', '부산진구|당감동', '부산진구|범전동', '부산진구|범천동', '부산진구|부암동', '부산진구|부전동', '부산진구|양정동', '부산진구|연지동', '부산진구|전포동', '부산진구|초읍동')",62,2931,SAME_GU,2,73,False,0.2973960151529998,0.22996065067428562,MEDIUM,F1/F2/F3,F3,SAME_GU
부산진구|초읍동,부산진구,초읍동,1,부산진구|가야동;부산진구|초읍동,"('부산진구|가야동', '부산진구|초읍동')",6,295,SAME_GU_SIMILAR_PROFILE,2,139,False,0.06924663242048794,0.053245025323206435,MEDIUM,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
사상구|감전동,사상구,감전동,1,사상구|감전동;사상구|괘법동;사상구|덕포동,"('사상구|감전동', '사상구|괘법동', '사상구|덕포동')",6,268,SAME_GU_SIMILAR_PROFILE,0,0,False,,,,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
사상구|괘법동,사상구,괘법동,1,사상구|괘법동;사상구|주례동,"('사상구|괘법동', '사상구|주례동')",12,394,SAME_GU_SIMILAR_PROFILE,3,123,False,0.09171893259998652,0.062176965513725625,MEDIUM,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
사상구|덕포동,사상구,덕포동,1,사상구|괘법동;사상구|덕포동,"('사상구|괘법동', '사상구|덕포동')",6,268,SAME_GU_SIMILAR_PROFILE,3,145,False,0.31718666881797714,0.29952302686624965,MEDIUM,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
