district,legal_dong,apartment_count,transaction_count,fallback_level,model_type,rmse,mae,r2,median_error,bias,school_coefficient,school_effect_direction,model_confidence
강서구,강동동,3,7,1,F,0.11848564754494618,0.09339161143972419,-0.6308961170305074,-0.07409168194816118,-0.07938296617276462,0.10137589359511523,POSITIVE,LOW
강서구,명지동,23,1669,0,F,0.1648944976013354,0.14003802038647148,0.47952298383548675,-0.13206447696434154,-0.13226015137984248,0.042512110815374864,POSITIVE,HIGH
강서구,신호동,3,52,1,F,0.12435187101814826,0.10338440248067826,-0.13257860127653842,-0.08620961368508429,-0.075707502814853,0.10137589359511523,POSITIVE,MEDIUM
강서구,지사동,3,268,1,F,0.25190097939512907,0.23518640293909227,-4.7950061254573155,-0.2307249860014764,-0.23370920117195107,0.10137589359511523,POSITIVE,MEDIUM
강서구,화전동,1,14,1,F,0.19351397268408074,0.1824707498633427,-10.364984001128821,-0.20670490736907254,-0.1824707498633427,0.10137589359511523,POSITIVE,LOW
금정구,구서동,7,382,0,F,0.1801447632648681,0.13143394983982948,0.6246910959240692,-0.08234057134539174,-0.11064423005581368,0.25072615176376695,POSITIVE,HIGH
금정구,부곡동,8,426,0,F,0.21978038223326604,0.17239933258963733,0.6354138888910938,-0.12540079655817138,-0.15348409403118915,-0.03552625468637094,NEGATIVE,HIGH
금정구,장전동,5,532,0,F,0.09509696509718427,0.0728175417962297,0.8904809475677726,-0.02975484969712383,-0.032521116886635726,0.6683362619201386,POSITIVE,HIGH
금정구,청룡동,1,22,1,F,0.3386958068754609,0.3098224631491771,-6.82796511497166,-0.31275279529968447,-0.2807384724535112,0.10137589359511523,POSITIVE,LOW
기장군,기장읍교리,1,33,1,F,0.1490025786973299,0.13641287482617032,-5.204207122341635,-0.13127751852968217,-0.13291073124839345,0.10137589359511523,POSITIVE,MEDIUM
기장군,기장읍내리,1,29,1,F,0.21381561029798465,0.2047476696126952,-7.526931608890084,-0.1930708044022449,-0.2047476696126952,0.10137589359511523,POSITIVE,LOW
기장군,기장읍동부리,1,53,1,F,0.16427614313987057,0.14483261649174906,-1.6051639496884786,-0.1383329671997764,-0.12356682020271445,0.10137589359511523,POSITIVE,MEDIUM
기장군,기장읍서부리,1,30,1,F,0.09002129820605054,0.07683217453742414,-0.5480483771682725,-0.043228422410424905,-0.03724854763001779,0.10137589359511523,POSITIVE,MEDIUM
기장군,기장읍청강리,4,118,1,F,0.3000686411111991,0.26670031863760213,-0.5161726829584521,-0.294742202731034,-0.24904189203807384,0.10137589359511523,POSITIVE,MEDIUM
기장군,일광읍삼성리,6,429,0,F,0.057394508410903156,0.04401799230485794,0.6941890547145741,-0.006919201063039893,-0.0023038246759839974,-0.034965530430126665,NEGATIVE,HIGH
기장군,일광읍이천리,1,48,1,F,0.12593065014158333,0.10838768643509115,-0.3237480835890125,-0.0873065666330266,-0.08234290386551635,0.10137589359511523,POSITIVE,MEDIUM
기장군,정관읍달산리,2,94,1,F,0.13940249714861933,0.12930909066235854,-4.155992017679574,-0.12464683001704024,-0.12897569835450196,0.10137589359511523,POSITIVE,MEDIUM
기장군,정관읍매학리,1,86,1,F,0.10358981004497335,0.09729942256258081,-4.725973371313777,-0.09359935360548466,-0.09729942256258081,0.10137589359511523,POSITIVE,MEDIUM
기장군,정관읍모전리,6,367,0,F,0.20151302548940506,0.18757901497307006,-3.9237259894258036,-0.18041476830113012,-0.1873629072023398,-0.003661762324333063,NEGATIVE,HIGH
기장군,정관읍방곡리,1,41,1,F,0.1544400680655581,0.14200627328636062,-4.753168761211092,-0.14862898813851189,-0.13935217691146237,0.10137589359511523,POSITIVE,MEDIUM
기장군,정관읍용수리,6,340,0,F,0.18490382489410706,0.15831740386946724,-0.8800560603148495,-0.15198578611575186,-0.14792586800115734,0.000594689888882077,POSITIVE,HIGH
