school_sign,local_sign,apartment_count,median_school_score,median_local_gap,median_school_gap,high_model_count
MISSING,NEGATIVE,1,,-36.51771888552161,,1
MISSING,POSITIVE,1,,22.838451540922367,,1
NEGATIVE,NEGATIVE,115,63.0385761589404,-9.079514944985434,-27.22689748496356,76
NEGATIVE,NEUTRAL,56,61.5385761589404,-0.06866688308375113,-16.74749138588222,30
NEGATIVE,POSITIVE,43,53.05883002207506,7.659188534486794,-16.996164380797005,29
NEUTRAL,NEGATIVE,9,61.6733995584989,-5.6821277315618035,-0.3626855294503346,5
NEUTRAL,NEUTRAL,16,48.846937086092716,1.656293681782417,0.047456844402593554,6
NEUTRAL,POSITIVE,22,46.420336644591615,10.765624787978622,0.09893022231574915,15
POSITIVE,NEGATIVE,28,48.326407284768216,-7.54797863558575,8.21002575924272,17
POSITIVE,NEUTRAL,28,63.90794701986755,0.8774560489319794,14.316074669218978,16
POSITIVE,POSITIVE,183,51.52516556291391,15.573359712260215,21.56515763456786,116
