gu,legal_dong,apartment_count,high_model_count,medium_model_count,median_gap,p25,p75,positive_share,negative_share,strong_undervalued_count,strong_overvalued_count,median_interval_width,dong_bias_flag
강서구,강동동,3,0,3,3.8899154039434114,3.54171530126004,9.007326567195816,1.0,0.0,0,0,98.03771790251965,False
강서구,명지동,23,23,0,8.784080433664233,3.8376332062183938,13.264897807907182,0.782608695652174,0.08695652173913043,0,0,57.54583522180605,False
강서구,신호동,3,0,3,9.320587503713963,7.690877587187284,11.507251102564931,1.0,0.0,0,0,98.03771790251966,False
강서구,지사동,3,0,3,15.887110372922585,15.830006581620415,22.202137240597885,1.0,0.0,0,0,98.03771790251967,True
강서구,화전동,1,0,1,8.235165097813901,8.235165097813901,8.235165097813901,1.0,0.0,0,0,98.03771790251965,False
금정구,구서동,7,7,0,3.9959036141672177,-3.5621168207498886,12.025880005757594,0.5714285714285714,0.2857142857142857,0,0,69.74080139346268,False
금정구,부곡동,8,8,0,2.8010153466420884,-1.450649344616381,18.921661398788196,0.5,0.125,0,0,75.33618306020227,False
금정구,장전동,5,0,5,-1.4569782717087865,-3.4868281442142823,0.25691623981614065,0.0,0.4,0,0,43.726962617365935,False
금정구,청룡동,1,0,1,30.933326250828653,30.933326250828653,30.933326250828653,1.0,0.0,0,0,98.03771790251967,True
기장군,기장읍교리,1,0,1,6.2324095262174195,6.2324095262174195,6.2324095262174195,1.0,0.0,0,0,98.03771790251965,False
기장군,기장읍내리,1,0,1,11.955909527179841,11.955909527179841,11.955909527179841,1.0,0.0,0,0,98.03771790251936,False
기장군,기장읍동부리,1,0,1,10.434693457907795,10.434693457907795,10.434693457907795,1.0,0.0,0,0,98.03771790251967,False
기장군,기장읍서부리,1,0,1,1.1989535139620866,1.1989535139620866,1.1989535139620866,0.0,0.0,0,0,98.03771790251965,False
기장군,기장읍청강리,4,0,4,23.890726734269805,8.015557285557222,37.41577908065431,0.75,0.25,0,0,98.03771790251966,True
기장군,일광읍삼성리,6,6,0,-0.7850259394224679,-1.9350695260881374,-0.4726513893231421,0.0,0.0,0,0,37.21602712691088,False
기장군,일광읍이천리,1,0,1,7.418255428262022,7.418255428262022,7.418255428262022,1.0,0.0,0,0,98.03771790251936,False
기장군,정관읍달산리,2,0,2,7.1913351178842575,6.105624647441776,8.277045588326738,1.0,0.0,0,0,98.03771790251966,False
기장군,정관읍매학리,1,0,1,4.218276372099616,4.218276372099616,4.218276372099616,1.0,0.0,0,0,98.03771790251966,False
기장군,정관읍모전리,6,6,0,5.787543680816432,2.7317544940805627,7.49443766262321,0.6666666666666666,0.0,0,0,53.53701213856359,False
기장군,정관읍방곡리,1,0,1,7.897856851944596,7.897856851944596,7.897856851944596,1.0,0.0,0,0,98.03771790251966,False
기장군,정관읍용수리,6,6,0,9.476722931182834,-3.5652325737193733,15.929744745976937,0.6666666666666666,0.3333333333333333,0,0,66.27474838395409,False
남구,감만동,2,0,2,14.48725115827295,9.511526422056155,19.462975894489748,1.0,0.0,0,0,98.03771790251966,True
