final_review_class,class_rank,apartment_id,apartment_name,gu,legal_dong,household_count,school_core_score,school_premium_pct,school_value_gap_pct,local_fair_total_price,observed_market_price_12m,local_value_gap_pct,local_gap_interval_status,local_gap_temporal_stability,school_local_signal_agreement,model_confidence,local_gap_confidence,gap_confidence,gap_positive_probability,dong_bias_flag,phase154_audit_priority,model_limitation_flag,unmodeled_premium_candidate,unmodeled_discount_candidate
CORE_CANDIDATE,1,A61681107,금곡화목타운,북구,금곡동,576.0,45.7257174392936,-1.796964049276284,28.11230003139213,168047251.3443707,133500000.0,25.87809089465969,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,HIGH,1.0,False,LOW,EXTREME_RESIDUAL,False,True
CORE_CANDIDATE,2,A61676316,금곡3단지주공,북구,금곡동,1484.0,23.34448123620309,-10.692290331843925,40.56260692628448,81597835.08702873,65000000.0,25.53513090312112,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,HIGH,1.0,False,LOW,EXTREME_RESIDUAL,False,True
CORE_CANDIDATE,3,A60877710,삼익그린,남구,대연동,725.0,38.21296909492274,-4.877519399907726,53.80778165635131,200425065.7741076,162364085.66721582,23.441748186173527,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,HIGH,1.0,False,LOW,EXTREME_RESIDUAL,False,True
CORE_CANDIDATE,4,A61870411,명지오션시티한신휴플러스,강서구,명지동,841.0,42.43294701986755,-3.159237499840306,20.88001859175689,396732017.965817,322599598.1245813,22.979699997210567,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,HIGH,1.0,False,LOW,EXTREME_RESIDUAL,False,True
CORE_CANDIDATE,5,A61484004,협성피닉스타운,부산진구,부암동,774.0,70.84387417218544,9.245479063447458,55.3848339189516,287353755.5004967,234332271.76220807,22.626624723756738,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,HIGH,1.0,False,LOW,EXTREME_RESIDUAL,False,True
CORE_CANDIDATE,6,A61679207,도시화명그린(295),북구,화명동,720.0,33.73923841059603,-6.665842541556377,41.2356218141121,114892630.30946234,97999999.99999996,17.237377866798333,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,HIGH,1.0,False,LOW,NONE,False,False
CORE_CANDIDATE,7,A61676814,금곡9단지주공,북구,금곡동,1366.0,45.7257174392936,-1.7969640492763062,43.95250287556435,74470642.89760123,64000000.00000001,16.360379527501912,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,HIGH,1.0,False,LOW,EXTREME_RESIDUAL,False,True
CORE_CANDIDATE,8,A61281117,센텀대림,해운대구,반여동,1500.0,72.56655629139073,10.046795965102053,19.88333767057941,275530426.91557616,240000000.0,14.804344548156736,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,HIGH,1.0,False,LOW,NONE,False,False
CORE_CANDIDATE,9,A61870410,명지두산위브포세이돈,강서구,명지동,1256.0,42.43294701986755,-3.159237499840306,23.105495207759045,371439515.0322695,324995410.7874736,14.290695407747588,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,HIGH,1.0,False,LOW,NONE,False,False
CORE_CANDIDATE,10,A61681108,협진태양·조성아파트,북구,금곡동,576.0,45.7257174392936,-1.7969640492763173,32.472595626809635,155114423.6913409,136500000.0,13.636940433216772,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,HIGH,1.0,False,LOW,NONE,False,False
