metric,value
total_apartments,560
school_core_coverage,557
fair_price_coverage,502
local_gap_coverage,502
school_gap_coverage,500
CORE_CANDIDATE_count,94
LOCAL_VALUE_count,58
SCHOOL_VALUE_count,30
WATCHLIST_count,262
FULLY_PRICED_OR_NEGATIVE_count,116
strong_undervalued_count,8
strong_overvalued_count,4
DOUBLE_POSITIVE_count,183
ROBUST_DUAL_POSITIVE_count,94
legal_dong_bias_apartment_count,29
legal_dong_bias_count,10
high_audit_count,33
unmodeled_premium_candidate_count,43
unmodeled_discount_candidate_count,94
