scope,metric,value
all,before_coordinate_count,1468.0
all,after_coordinate_count,4518.0
all,before_coverage_pct,32.47
all,after_coverage_pct,99.93
500plus,total,560.0
500plus,before_coordinate_count,560.0
500plus,after_coordinate_count,560.0
500plus,after_coverage_pct,100.0
boundary,before_match,1466.0
boundary,after_match,4512.0
boundary,before_relation_count,1484.0
boundary,after_relation_count,4536.0
coordinate_status,GEOCODED,3050.0
coordinate_status,EXISTING,1468.0
coordinate_status,REVIEW,3.0
coordinate_source,KAKAO_ROAD,2722.0
coordinate_source,KAPT_EXISTING,1468.0
coordinate_source,KAKAO_LOT,328.0
coordinate_source,<NA>,3.0
candidate_type,LOT_ADDRESS_confirmed_rate_pct,99.56
candidate_type,NAME_ADDRESS_confirmed_rate_pct,0.0
candidate_type,ROAD_ADDRESS_confirmed_rate_pct,89.16
