internal_complex_id,complex_name,households,sigungu,legal_dong,elementary_school_id,elementary_school_name,education_office,apartment_elementary_match_type,middle_relation_exists,middle_score_exists,missing_reason
A61872202,부산신호사랑으로부영2차,1388.0,강서구,신호동,S020002202,송정초등학교,bukbu,OFFICIAL_SCHOOLZONE_BOUNDARY,False,False,MISSING_ELEMENTARY_MIDDLE_RELATION
A61872204,부산신호3사랑으로부영3차,1278.0,강서구,신호동,S020002202,송정초등학교,bukbu,OFFICIAL_SCHOOLZONE_BOUNDARY,False,False,MISSING_ELEMENTARY_MIDDLE_RELATION
A10020264,에코델타 더 베르힐 아파트,1120.0,강서구,강동동,S020002353,대저중앙초등학교,bukbu,OFFICIAL_SCHOOLZONE_BOUNDARY,False,False,MISSING_ELEMENTARY_MIDDLE_RELATION
A61872201,부산신호사랑으로부영1차,1064.0,강서구,신호동,S020002202,송정초등학교,bukbu,OFFICIAL_SCHOOLZONE_BOUNDARY,False,False,MISSING_ELEMENTARY_MIDDLE_RELATION
A10020020,부산에코델타시티 디에트르 더 퍼스트아파트,972.0,강서구,강동동,S020002353,대저중앙초등학교,bukbu,OFFICIAL_SCHOOLZONE_BOUNDARY,False,False,MISSING_ELEMENTARY_MIDDLE_RELATION
A10020569,에코델타시티 푸르지오 센터파크,972.0,강서구,강동동,S020002353,대저중앙초등학교,bukbu,OFFICIAL_SCHOOLZONE_BOUNDARY,False,False,MISSING_ELEMENTARY_MIDDLE_RELATION
A10020649,e편한세상 에코델타 센터포인트,953.0,강서구,강동동,S020002353,대저중앙초등학교,bukbu,OFFICIAL_SCHOOLZONE_BOUNDARY,False,False,MISSING_ELEMENTARY_MIDDLE_RELATION
A10020378,에코델타시티 푸르지오린,895.0,강서구,강동동,S020002353,대저중앙초등학교,bukbu,OFFICIAL_SCHOOLZONE_BOUNDARY,False,False,MISSING_ELEMENTARY_MIDDLE_RELATION
A10020645,강서자이에코델타,856.0,강서구,강동동,S020002353,대저중앙초등학교,bukbu,OFFICIAL_SCHOOLZONE_BOUNDARY,False,False,MISSING_ELEMENTARY_MIDDLE_RELATION
A10022541,에코델타스마트시티수자인,554.0,강서구,강동동,S020002353,대저중앙초등학교,bukbu,OFFICIAL_SCHOOLZONE_BOUNDARY,False,False,MISSING_ELEMENTARY_MIDDLE_RELATION
A10022696,에코델타호반써밋스마트시티,526.0,강서구,강동동,S020002353,대저중앙초등학교,bukbu,OFFICIAL_SCHOOLZONE_BOUNDARY,False,False,MISSING_ELEMENTARY_MIDDLE_RELATION
A61970415,부산기장교리,875.0,기장군,기장읍,S020001648,교리초등학교,haeundae,OFFICIAL_SCHOOLZONE_BOUNDARY,False,False,MISSING_ELEMENTARY_MIDDLE_RELATION
A61990108,이진캐스빌블루1차,620.0,기장군,기장읍교리,S020001648,교리초등학교,haeundae,OFFICIAL_SCHOOLZONE_BOUNDARY,False,False,MISSING_ELEMENTARY_MIDDLE_RELATION
A60476805,현대,992.0,사하구,신평동,,,seobu,NO_ELEMENTARY_MATCH,False,False,OTHER
