elementary_school_id,elementary_school_name,middle_school_id,middle_school_name,education_office,school_group,male_assignment,female_assignment,single_active_candidate,official_bukbu_pdf,male_female_same_single_school,auto_exact_pass,decision,source_document,source_page,source_text,source_sha256,previous_relation_type,previous_relation_status,applied_at
S020001235,가락초,S020001210,낙동중,bukbu,18학교군,낙동중,낙동중,True,True,True,True,PROMOTE_EXACT,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf,layout line 76,남학생 중입=낙동중; 여학생 중입=낙동중,dd8de1ed89ffc6df8b556566b5c023a712e2685dacd81aac4c9b873bd0e54371,ELIGIBLE,ACTIVE,2026-09-11T10:11:25.609479+09:00
S020001237,감전초,S020001231,주례중,bukbu,,주례중,주례중,True,True,True,True,PROMOTE_EXACT,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf,layout line 3,남학생 중입=주례중; 여학생 중입=주례중,dd8de1ed89ffc6df8b556566b5c023a712e2685dacd81aac4c9b873bd0e54371,ELIGIBLE,ACTIVE,2026-09-11T10:11:25.609479+09:00
S020002370,강서초,S020001202,가락중,bukbu,18학교군,가락중,가락중,True,True,True,True,PROMOTE_EXACT,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf,layout line 74,남학생 중입=가락중; 여학생 중입=가락중,dd8de1ed89ffc6df8b556566b5c023a712e2685dacd81aac4c9b873bd0e54371,ELIGIBLE,ACTIVE,2026-09-11T10:11:25.609479+09:00
S020001242,금곡초,S020001208,금곡중,bukbu,7학교군,금곡중,금곡중,True,True,True,True,PROMOTE_EXACT,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf,layout line 28,남학생 중입=금곡중; 여학생 중입=금곡중,dd8de1ed89ffc6df8b556566b5c023a712e2685dacd81aac4c9b873bd0e54371,ELIGIBLE,ACTIVE,2026-09-11T10:11:25.609479+09:00
S020001243,금창초,S020001208,금곡중,bukbu,7학교군,금곡중,금곡중,True,True,True,True,PROMOTE_EXACT,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf,layout line 30,남학생 중입=금곡중; 여학생 중입=금곡중,dd8de1ed89ffc6df8b556566b5c023a712e2685dacd81aac4c9b873bd0e54371,ELIGIBLE,ACTIVE,2026-09-11T10:11:25.609479+09:00
S020001244,녹명초,S020001211,녹산중,bukbu,18학교군,녹산중,녹산중,True,True,True,True,PROMOTE_EXACT,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf,layout line 77,남학생 중입=녹산중; 여학생 중입=녹산중,dd8de1ed89ffc6df8b556566b5c023a712e2685dacd81aac4c9b873bd0e54371,ELIGIBLE,ACTIVE,2026-09-11T10:11:25.609479+09:00
S020002054,녹산초,S020002073,지사중,bukbu,중학구,지사중,지사중,True,True,True,True,PROMOTE_EXACT,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf,layout line 83,남학생 중입=지사중; 여학생 중입=지사중,dd8de1ed89ffc6df8b556566b5c023a712e2685dacd81aac4c9b873bd0e54371,ELIGIBLE,ACTIVE,2026-09-11T10:11:25.609479+09:00
S020001246,대사초,S020001210,낙동중,bukbu,18학교군,낙동중,낙동중,True,True,True,True,PROMOTE_EXACT,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf,layout line 78,남학생 중입=낙동중; 여학생 중입=낙동중,dd8de1ed89ffc6df8b556566b5c023a712e2685dacd81aac4c9b873bd0e54371,ELIGIBLE,ACTIVE,2026-09-11T10:11:25.609479+09:00
S020001247,대상초,S020001210,낙동중,bukbu,18학교군,낙동중,낙동중,True,True,True,True,PROMOTE_EXACT,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf,layout line 79,남학생 중입=낙동중; 여학생 중입=낙동중,dd8de1ed89ffc6df8b556566b5c023a712e2685dacd81aac4c9b873bd0e54371,ELIGIBLE,ACTIVE,2026-09-11T10:11:25.609479+09:00
S020001248,대저중앙초,S020001202,가락중,bukbu,18학교군,가락중,가락중,True,True,True,True,PROMOTE_EXACT,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf,layout line 73,남학생 중입=가락중; 여학생 중입=가락중,dd8de1ed89ffc6df8b556566b5c023a712e2685dacd81aac4c9b873bd0e54371,ELIGIBLE,ACTIVE,2026-09-11T10:11:25.609479+09:00
