internal_complex_id,kapt_code,complex_name,households,sigungu,legal_dong,is_500plus,manual_review,elementary_school_ids,elementary_school_names,elementary_school_count,nearest_elementary_distance_m,mean_elementary_feeder_score,best_elementary_feeder_score,worst_elementary_feeder_score,middle_school_count,best_middle_score,mean_middle_score,worst_middle_score,feeder_exclusivity,assignment_data_quality,elementary_accessibility_score,shared_catchment,school_zone_score,score_quality_focused,score_stability_focused,school_score_status,school_score_quality,busan_school_rank,school_zone_percentile,school_zone_grade
A61784213,A61784213,구학마을,1110.0,사상구,학장동,True,False,['S020001241'],['구학초등학교'],1,112.14871071738021,51.51250000000001,51.51250000000001,51.51250000000001,4,77.23529411764707,52.367647058823536,34.82352941176471,0.375,85.0,100.0,False,59.71000000000001,55.61125000000001,57.46800000000001,SCORED,HIGH,347.0,61.210762331838566,C
A61777410,A61777410,학장1지구도개공임대,720.0,사상구,학장동,True,False,['S020001241'],['구학초등학교'],1,269.95395711464624,51.51250000000001,51.51250000000001,51.51250000000001,4,77.23529411764707,52.367647058823536,34.82352941176471,0.375,85.0,100.0,False,59.71000000000001,55.61125000000001,57.46800000000001,SCORED,HIGH,347.0,61.210762331838566,C
A61777409,A61777409,학장대림,825.0,사상구,학장동,True,False,['S020001241'],['구학초등학교'],1,251.8095702495127,51.51250000000001,51.51250000000001,51.51250000000001,4,77.23529411764707,52.367647058823536,34.82352941176471,0.375,85.0,100.0,False,59.71000000000001,55.61125000000001,57.46800000000001,SCORED,HIGH,347.0,61.210762331838566,C
A61777502,A61777502,학장극동,299.0,사상구,학장동,False,False,['S020001241'],['구학초등학교'],1,490.0624688752796,51.51250000000001,51.51250000000001,51.51250000000001,4,77.23529411764707,52.367647058823536,34.82352941176471,0.375,85.0,90.0,False,58.71000000000001,55.11125000000001,56.46800000000001,SCORED,HIGH,455.0,49.10313901345291,C
A61777105,A61777105,학장벽산,526.0,사상구,학장동,True,False,['S020001241'],['구학초등학교'],1,345.02885063533154,51.51250000000001,51.51250000000001,51.51250000000001,4,77.23529411764707,52.367647058823536,34.82352941176471,0.375,85.0,90.0,False,58.71000000000001,55.11125000000001,56.46800000000001,SCORED,HIGH,455.0,49.10313901345291,C
A61784208,A61784208,신구덕우성,763.0,사상구,학장동,True,False,['S020001241'],['구학초등학교'],1,592.3129276155571,51.51250000000001,51.51250000000001,51.51250000000001,4,77.23529411764707,52.367647058823536,34.82352941176471,0.375,85.0,80.0,False,57.71000000000001,54.61125000000001,55.46800000000001,SCORED,HIGH,558.0,37.55605381165919,C
A60476206,A60476206,가락타운2,2980.0,사하구,하단동,True,False,['S020001493'],['하남초등학교'],1,256.1419478906724,59.67830882352942,59.67830882352942,59.67830882352942,4,69.70588235294117,61.00735294117647,51.8235294117647,0.375,85.0,100.0,False,66.24264705882354,62.96047794117648,62.69411764705883,SCORED,HIGH,1.0,100.0,S
TRADE_2F37CD5E6C7A,,KCB센트리움,,사하구,하단동,,False,['S020001494'],['하단초등학교'],1,181.27801490312922,58.96580882352942,58.96580882352942,58.96580882352942,4,69.70588235294117,61.13970588235294,46.5,0.375,85.0,100.0,False,65.67264705882354,62.31922794117648,62.23811764705883,SCORED,HIGH,2.0,99.88789237668162,S
TRADE_78BCE55BE7CA,,궁전시티빌,,사하구,하단동,,False,['S020001494'],['하단초등학교'],1,268.1478926976678,58.96580882352942,58.96580882352942,58.96580882352942,4,69.70588235294117,61.13970588235294,46.5,0.375,85.0,100.0,False,65.67264705882354,62.31922794117648,62.23811764705883,SCORED,HIGH,2.0,99.88789237668162,S
TRADE_28A3CD84981F,,나산리버빌,,사하구,하단동,,False,['S020001494'],['하단초등학교'],1,70.44980708670603,58.96580882352942,58.96580882352942,58.96580882352942,4,69.70588235294117,61.13970588235294,46.5,0.375,85.0,100.0,False,65.67264705882354,62.31922794117648,62.23811764705883,SCORED,HIGH,2.0,99.88789237668162,S
