internal_complex_id,kapt_code,complex_name,households,sigungu,legal_dong,is_500plus,manual_review,elementary_school_ids,elementary_school_names,elementary_school_count,nearest_elementary_distance_m,mean_elementary_feeder_score,best_elementary_feeder_score,worst_elementary_feeder_score,middle_school_count,best_middle_score,mean_middle_score,worst_middle_score,feeder_exclusivity,assignment_data_quality,elementary_accessibility_score,shared_catchment,school_zone_score,score_quality_focused,score_stability_focused,school_score_status,school_score_quality,busan_school_rank,school_zone_percentile,school_zone_grade,explanation
A60476206,A60476206,가락타운2,2980.0,사하구,하단동,True,False,['S020001493'],['하남초등학교'],1,256.1419478906724,59.67830882352942,59.67830882352942,59.67830882352942,4,69.70588235294117,61.00735294117647,51.8235294117647,0.375,85.0,100.0,False,66.24264705882354,62.96047794117648,62.69411764705883,SCORED,HIGH,1.0,100.0,S,"하남초등학교 통학구역; 중학교 4개; 평균 61.0, 최저 51.8; 초등 직선거리 256m; 부산 상위 0.0%"
A60402003,A60402003,하단동에스케이뷰,1828.0,사하구,하단동,True,False,['S020001870'],['을숙도초등학교'],1,67.11907769906237,58.96580882352942,58.96580882352942,58.96580882352942,4,69.70588235294117,61.13970588235294,46.5,0.375,85.0,100.0,False,65.67264705882354,62.31922794117648,62.23811764705883,SCORED,HIGH,2.0,99.88789237668162,S,"을숙도초등학교 통학구역; 중학교 4개; 평균 61.1, 최저 46.5; 초등 직선거리 67m; 부산 상위 0.1%"
TRADE_016166127E51,,하단동한웅드리머스,,사하구,하단동,,False,['S020001494'],['하단초등학교'],1,144.24075126045318,58.96580882352942,58.96580882352942,58.96580882352942,4,69.70588235294117,61.13970588235294,46.5,0.375,85.0,100.0,False,65.67264705882354,62.31922794117648,62.23811764705883,SCORED,HIGH,2.0,99.88789237668162,S,"하단초등학교 통학구역; 중학교 4개; 평균 61.1, 최저 46.5; 초등 직선거리 144m; 부산 상위 0.1%"
TRADE_02DC76FE711D,,부영,,사하구,하단동,,False,['S020001494'],['하단초등학교'],1,178.4251378467733,58.96580882352942,58.96580882352942,58.96580882352942,4,69.70588235294117,61.13970588235294,46.5,0.375,85.0,100.0,False,65.67264705882354,62.31922794117648,62.23811764705883,SCORED,HIGH,2.0,99.88789237668162,S,"하단초등학교 통학구역; 중학교 4개; 평균 61.1, 최저 46.5; 초등 직선거리 178m; 부산 상위 0.1%"
TRADE_07461AE6C118,,에덴영진,,사하구,하단동,,False,['S020001494'],['하단초등학교'],1,169.4420497613156,58.96580882352942,58.96580882352942,58.96580882352942,4,69.70588235294117,61.13970588235294,46.5,0.375,85.0,100.0,False,65.67264705882354,62.31922794117648,62.23811764705883,SCORED,HIGH,2.0,99.88789237668162,S,"하단초등학교 통학구역; 중학교 4개; 평균 61.1, 최저 46.5; 초등 직선거리 169m; 부산 상위 0.1%"
TRADE_0AD70139355B,,유진1,,사하구,하단동,,False,['S020001494'],['하단초등학교'],1,162.84321484131536,58.96580882352942,58.96580882352942,58.96580882352942,4,69.70588235294117,61.13970588235294,46.5,0.375,85.0,100.0,False,65.67264705882354,62.31922794117648,62.23811764705883,SCORED,HIGH,2.0,99.88789237668162,S,"하단초등학교 통학구역; 중학교 4개; 평균 61.1, 최저 46.5; 초등 직선거리 163m; 부산 상위 0.1%"
TRADE_2768E23CF0A8,,하단파미르빌,,사하구,하단동,,False,['S020001494'],['하단초등학교'],1,223.44971961730192,58.96580882352942,58.96580882352942,58.96580882352942,4,69.70588235294117,61.13970588235294,46.5,0.375,85.0,100.0,False,65.67264705882354,62.31922794117648,62.23811764705883,SCORED,HIGH,2.0,99.88789237668162,S,"하단초등학교 통학구역; 중학교 4개; 평균 61.1, 최저 46.5; 초등 직선거리 223m; 부산 상위 0.1%"
TRADE_28A3CD84981F,,나산리버빌,,사하구,하단동,,False,['S020001494'],['하단초등학교'],1,70.44980708670603,58.96580882352942,58.96580882352942,58.96580882352942,4,69.70588235294117,61.13970588235294,46.5,0.375,85.0,100.0,False,65.67264705882354,62.31922794117648,62.23811764705883,SCORED,HIGH,2.0,99.88789237668162,S,"하단초등학교 통학구역; 중학교 4개; 평균 61.1, 최저 46.5; 초등 직선거리 70m; 부산 상위 0.1%"
TRADE_291AB6D75ECA,,동방,,사하구,하단동,,False,['S020001494'],['하단초등학교'],1,236.17340576578908,58.96580882352942,58.96580882352942,58.96580882352942,4,69.70588235294117,61.13970588235294,46.5,0.375,85.0,100.0,False,65.67264705882354,62.31922794117648,62.23811764705883,SCORED,HIGH,2.0,99.88789237668162,S,"하단초등학교 통학구역; 중학교 4개; 평균 61.1, 최저 46.5; 초등 직선거리 236m; 부산 상위 0.1%"
TRADE_2F37CD5E6C7A,,KCB센트리움,,사하구,하단동,,False,['S020001494'],['하단초등학교'],1,181.27801490312922,58.96580882352942,58.96580882352942,58.96580882352942,4,69.70588235294117,61.13970588235294,46.5,0.375,85.0,100.0,False,65.67264705882354,62.31922794117648,62.23811764705883,SCORED,HIGH,2.0,99.88789237668162,S,"하단초등학교 통학구역; 중학교 4개; 평균 61.1, 최저 46.5; 초등 직선거리 181m; 부산 상위 0.1%"
TRADE_387C9DED03A6,,어반팰리스,,사하구,하단동,,False,['S020001494'],['하단초등학교'],1,143.10031360512585,58.96580882352942,58.96580882352942,58.96580882352942,4,69.70588235294117,61.13970588235294,46.5,0.375,85.0,100.0,False,65.67264705882354,62.31922794117648,62.23811764705883,SCORED,HIGH,2.0,99.88789237668162,S,"하단초등학교 통학구역; 중학교 4개; 평균 61.1, 최저 46.5; 초등 직선거리 143m; 부산 상위 0.1%"
