scope,group,period,area_group,quality_scope,score_variant,pearson,spearman,n,median_households,median_price_per_m2,median_apartment_age,unique_legal_dong
BUSAN,ALL,12M,ALL,HIGH,BASE,0.39803092717886795,0.3747542973278839,487,,,,
BUSAN,ALL,12M,ALL,HIGH,QUALITY_FOCUSED,0.4015189970138981,0.381249159442122,487,,,,
BUSAN,ALL,12M,ALL,HIGH,STABILITY_FOCUSED,0.3712808333557708,0.3456154833821408,487,,,,
SIGUNGU,강서구,12M,ALL,HIGH,BASE,-0.2577521127417588,-0.08863681705046067,28,,,,
SIGUNGU,금정구,12M,ALL,HIGH,BASE,0.2675356328647418,0.40429824591380265,21,,,,
SIGUNGU,기장군,12M,ALL,HIGH,BASE,0.12111638297791813,0.07873503364519792,28,,,,
SIGUNGU,남구,12M,ALL,HIGH,BASE,0.08901478799623715,-0.026925747542180207,34,,,,
SIGUNGU,동구,12M,ALL,HIGH,BASE,-0.08906396816042515,0.024397501823713332,8,,,,
SIGUNGU,동래구,12M,ALL,HIGH,BASE,0.08490833412751841,0.0289140917144941,38,,,,
SIGUNGU,부산진구,12M,ALL,HIGH,BASE,-0.157689797354897,-0.08909618920005873,59,,,,
SIGUNGU,북구,12M,ALL,HIGH,BASE,0.20820424753925612,0.28435234036580903,55,,,,
SIGUNGU,사상구,12M,ALL,HIGH,BASE,-0.19287964521613538,-0.07580328077442723,33,,,,
SIGUNGU,사하구,12M,ALL,HIGH,BASE,0.33535646131712804,0.23170122331454548,36,,,,
SIGUNGU,서구,12M,ALL,HIGH,BASE,0.2377331398410957,0.24924127290882647,10,,,,
SIGUNGU,수영구,12M,ALL,HIGH,BASE,0.684958895461048,0.7350195204640131,20,,,,
SIGUNGU,연제구,12M,ALL,HIGH,BASE,0.499688816615056,0.3069024113598539,26,,,,
SIGUNGU,영도구,12M,ALL,HIGH,BASE,-0.15955415438137968,-0.13572252497819753,12,,,,
SIGUNGU,해운대구,12M,ALL,HIGH,BASE,0.47156932092208725,0.547467496512873,79,,,,
WITHIN_SIGUNGU_PERCENTILE,ALL,12M,ALL,HIGH,BASE,0.19002713017087283,0.19022884783405064,487,,,,
WITHIN_LEGAL_DONG_DEMEANED,ALL,12M,ALL,HIGH,BASE,0.028300303587034916,0.0045270824981564544,439,,,,
BUSAN,ALL,12M,8090,HIGH,BASE,,,0,,,,
BUSAN,ALL,12M,8090,HIGH,QUALITY_FOCUSED,,,0,,,,
BUSAN,ALL,12M,8090,HIGH,STABILITY_FOCUSED,,,0,,,,
BUSAN,ALL,12M,5565,HIGH,BASE,,,0,,,,
BUSAN,ALL,12M,5565,HIGH,QUALITY_FOCUSED,,,0,,,,
BUSAN,ALL,12M,5565,HIGH,STABILITY_FOCUSED,,,0,,,,
BUSAN,ALL,36M,ALL,HIGH,BASE,0.38805774094603607,0.3652144506059029,487,,,,
BUSAN,ALL,36M,ALL,HIGH,QUALITY_FOCUSED,0.39196965769295805,0.37188022230098594,487,,,,
BUSAN,ALL,36M,ALL,HIGH,STABILITY_FOCUSED,0.36218377964309606,0.3371944988842286,487,,,,
BUSAN,ALL,36M,8090,HIGH,BASE,,,0,,,,
BUSAN,ALL,36M,8090,HIGH,QUALITY_FOCUSED,,,0,,,,
BUSAN,ALL,36M,8090,HIGH,STABILITY_FOCUSED,,,0,,,,
BUSAN,ALL,36M,5565,HIGH,BASE,,,0,,,,
BUSAN,ALL,36M,5565,HIGH,QUALITY_FOCUSED,,,0,,,,
BUSAN,ALL,36M,5565,HIGH,STABILITY_FOCUSED,,,0,,,,
BUSAN,ALL,SINCE_2020,ALL,HIGH,BASE,0.3785832066278307,0.36412295679043677,487,,,,
BUSAN,ALL,SINCE_2020,ALL,HIGH,QUALITY_FOCUSED,0.38259387112408183,0.3704885192361822,487,,,,
BUSAN,ALL,SINCE_2020,ALL,HIGH,STABILITY_FOCUSED,0.35291324984102723,0.3366769808682423,487,,,,
BUSAN,ALL,SINCE_2020,8090,HIGH,BASE,,,0,,,,
BUSAN,ALL,SINCE_2020,8090,HIGH,QUALITY_FOCUSED,,,0,,,,
BUSAN,ALL,SINCE_2020,8090,HIGH,STABILITY_FOCUSED,,,0,,,,
BUSAN,ALL,SINCE_2020,5565,HIGH,BASE,,,0,,,,
BUSAN,ALL,SINCE_2020,5565,HIGH,QUALITY_FOCUSED,,,0,,,,
BUSAN,ALL,SINCE_2020,5565,HIGH,STABILITY_FOCUSED,,,0,,,,
BUSAN,ALL,12M,ALL,HIGH_MEDIUM,BASE,0.39867939467739466,0.37435150473332335,496,,,,
BUSAN,ALL,12M,ALL,HIGH_MEDIUM,QUALITY_FOCUSED,0.40216926693758276,0.3811881325960908,496,,,,
BUSAN,ALL,12M,ALL,HIGH_MEDIUM,STABILITY_FOCUSED,0.37310574556125453,0.34665413320490174,496,,,,
SIGUNGU,강서구,12M,ALL,HIGH_MEDIUM,BASE,-0.2577521127417588,-0.08863681705046067,28,,,,
SIGUNGU,금정구,12M,ALL,HIGH_MEDIUM,BASE,0.2675356328647418,0.40429824591380265,21,,,,
SIGUNGU,기장군,12M,ALL,HIGH_MEDIUM,BASE,0.1022722395027506,0.05556943201096793,30,,,,
SIGUNGU,남구,12M,ALL,HIGH_MEDIUM,BASE,0.08901478799623715,-0.026925747542180207,34,,,,
SIGUNGU,동구,12M,ALL,HIGH_MEDIUM,BASE,-0.08906396816042515,0.024397501823713332,8,,,,
SIGUNGU,동래구,12M,ALL,HIGH_MEDIUM,BASE,0.08490833412751841,0.0289140917144941,38,,,,
SIGUNGU,부산진구,12M,ALL,HIGH_MEDIUM,BASE,-0.15163176024340758,-0.07956765550960927,62,,,,
SIGUNGU,북구,12M,ALL,HIGH_MEDIUM,BASE,0.20820424753925612,0.28435234036580903,55,,,,
SIGUNGU,사상구,12M,ALL,HIGH_MEDIUM,BASE,-0.2394141806340574,-0.1513883533620709,36,,,,
SIGUNGU,사하구,12M,ALL,HIGH_MEDIUM,BASE,0.3294106339428601,0.24887271265305283,37,,,,
SIGUNGU,서구,12M,ALL,HIGH_MEDIUM,BASE,0.2377331398410957,0.24924127290882647,10,,,,
SIGUNGU,수영구,12M,ALL,HIGH_MEDIUM,BASE,0.684958895461048,0.7350195204640131,20,,,,
SIGUNGU,연제구,12M,ALL,HIGH_MEDIUM,BASE,0.499688816615056,0.3069024113598539,26,,,,
SIGUNGU,영도구,12M,ALL,HIGH_MEDIUM,BASE,-0.15955415438137968,-0.13572252497819753,12,,,,
SIGUNGU,해운대구,12M,ALL,HIGH_MEDIUM,BASE,0.47156932092208725,0.547467496512873,79,,,,
WITHIN_SIGUNGU_PERCENTILE,ALL,12M,ALL,HIGH_MEDIUM,BASE,0.18194974055125596,0.18396999283914475,496,,,,
WITHIN_LEGAL_DONG_DEMEANED,ALL,12M,ALL,HIGH_MEDIUM,BASE,0.023672638730868185,-0.003588510760387788,449,,,,
BUSAN,ALL,12M,8090,HIGH_MEDIUM,BASE,,,0,,,,
BUSAN,ALL,12M,8090,HIGH_MEDIUM,QUALITY_FOCUSED,,,0,,,,
BUSAN,ALL,12M,8090,HIGH_MEDIUM,STABILITY_FOCUSED,,,0,,,,
BUSAN,ALL,12M,5565,HIGH_MEDIUM,BASE,,,0,,,,
BUSAN,ALL,12M,5565,HIGH_MEDIUM,QUALITY_FOCUSED,,,0,,,,
BUSAN,ALL,12M,5565,HIGH_MEDIUM,STABILITY_FOCUSED,,,0,,,,
BUSAN,ALL,36M,ALL,HIGH_MEDIUM,BASE,0.3886295679880617,0.36506059837515803,496,,,,
BUSAN,ALL,36M,ALL,HIGH_MEDIUM,QUALITY_FOCUSED,0.3925501837182056,0.37206868682116184,496,,,,
BUSAN,ALL,36M,ALL,HIGH_MEDIUM,STABILITY_FOCUSED,0.36393619734756755,0.3384861552604077,496,,,,
BUSAN,ALL,36M,8090,HIGH_MEDIUM,BASE,,,0,,,,
BUSAN,ALL,36M,8090,HIGH_MEDIUM,QUALITY_FOCUSED,,,0,,,,
BUSAN,ALL,36M,8090,HIGH_MEDIUM,STABILITY_FOCUSED,,,0,,,,
BUSAN,ALL,36M,5565,HIGH_MEDIUM,BASE,,,0,,,,
BUSAN,ALL,36M,5565,HIGH_MEDIUM,QUALITY_FOCUSED,,,0,,,,
BUSAN,ALL,36M,5565,HIGH_MEDIUM,STABILITY_FOCUSED,,,0,,,,
BUSAN,ALL,SINCE_2020,ALL,HIGH_MEDIUM,BASE,0.37887110953510983,0.36368683821580317,496,,,,
BUSAN,ALL,SINCE_2020,ALL,HIGH_MEDIUM,QUALITY_FOCUSED,0.38287881309847505,0.3703509722401387,496,,,,
