analysis,quality_scope,group,complex_count,median_price_per_m2,median_trade_count,median_turnover,median_jeonse_ratio,median_apartment_age,median_recent_return,price_difference_pct
QUINTILE,HIGH,Q1,97,3535915.0751774833,30.0,0.03566229985443959,0.7394774337646335,18.0,,
QUINTILE,HIGH,Q2,97,3859277.5620661257,31.0,0.033707865168539325,0.7191011235955056,21.0,,
QUINTILE,HIGH,Q3,98,4710596.6206524335,36.5,0.03727433747892446,0.6864576496524798,20.0,,
QUINTILE,HIGH,Q4,97,5284995.546449504,41.0,0.0441025641025641,0.7,18.0,,
QUINTILE,HIGH,Q5,98,6206143.799469167,39.0,0.04388134524086186,0.5912691400809778,24.0,,
TOP10,HIGH,REMAINING90,437,4650888.967384905,35.0,0.03855421686746988,0.7019168372185893,20.0,0.01432485285666818,
TOP10,HIGH,TOP10,50,6608968.107482955,38.0,0.04610803424440231,0.5617543859649123,27.5,0.10007969358762014,
Q5_MINUS_Q1,HIGH,Q5-Q1,487,2670228.724291684,,,,,,0.7551733193585408
QUINTILE,HIGH_MEDIUM,Q1,99,3532736.693358455,30.0,0.035114503816793895,0.7418846899224807,17.0,,
QUINTILE,HIGH_MEDIUM,Q2,99,3678861.880257021,32.0,0.034013605442176874,0.7203389830508474,22.0,,
QUINTILE,HIGH_MEDIUM,Q3,99,4471743.031531918,35.0,0.03553921568627451,0.7,20.0,,
QUINTILE,HIGH_MEDIUM,Q4,99,5284995.546449504,41.0,0.0441025641025641,0.693069306930693,18.0,,
QUINTILE,HIGH_MEDIUM,Q5,100,6266006.120748475,39.5,0.04388134524086186,0.5912691400809778,24.0,,
TOP10,HIGH_MEDIUM,REMAINING90,446,4612270.497138161,35.5,0.0383191094532284,0.7067137809187279,20.0,0.013880971019609945,
TOP10,HIGH_MEDIUM,TOP10,50,6608968.107482955,38.0,0.04610803424440231,0.5617543859649123,27.5,0.10007969358762014,
Q5_MINUS_Q1,HIGH_MEDIUM,Q5-Q1,496,2733269.4273900203,,,,,,0.7736974659132019
MARKET_PHASE,HIGH,DECLINE_Q1,36,,,,,,-0.0030624942550203094,
MARKET_PHASE,HIGH,DECLINE_Q5,36,,,,,,-0.015003213147382066,
MARKET_PHASE,HIGH,RISE_Q1,43,,,,,,0.017602841074362496,
MARKET_PHASE,HIGH,RISE_Q5,43,,,,,,0.01717564130868232,
