rank,internal_complex_id,complex_name,sigungu,legal_dong,households,elementary_school_names,middle_school_candidates,school_zone_score,school_score_quality,median_price_per_m2,price_rank_in_dong,trade_count
1,A61274011,경남마리나,해운대구,우동,624.0,['해강초등학교'],해강중; 해운대중,89.46470588235294,HIGH,13069586.718474036,3.0,25
2,A61274114,경동,해운대구,우동,892.0,['해강초등학교'],해강중; 해운대중,89.46470588235294,HIGH,8298999.411418481,14.0,45
3,A61278912,대우마리나3,해운대구,우동,750.0,['해강초등학교'],해강중; 해운대중,88.46470588235294,HIGH,11815004.616141358,7.0,28
4,A61282215,대우마리나1,해운대구,우동,1164.0,['해강초등학교'],해강중; 해운대중,88.46470588235294,HIGH,11665196.396790024,8.0,34
5,A61202007,해운대두산위브더제니스,해운대구,우동,1788.0,['해원초등학교'],해강중; 해운대여중; 해운대중,87.82235294117646,HIGH,14002467.749918887,2.0,53
6,A61202009,해운대자이1단지,해운대구,우동,1059.0,['해림초등학교'],해강중; 해운대여중; 해운대중,87.82235294117646,HIGH,12420626.283464717,6.0,63
7,A61271101,센텀삼환Nauville,해운대구,우동,926.0,['강동초등학교'],해강중; 해운대여중; 해운대중,87.82235294117646,HIGH,8219178.082191781,15.0,59
8,A61274013,해운대 I PARK,해운대구,우동,1631.0,['해원초등학교'],해강중; 해운대여중; 해운대중,87.82235294117646,HIGH,12681689.388353087,4.0,64
9,A61203012,영남,해운대구,좌동,512.0,['좌산초등학교'],신곡중,87.26705882352942,HIGH,4950910.464042963,4.0,17
10,A61203033,벽산2,해운대구,좌동,1070.0,['좌산초등학교'],신곡중,87.26705882352942,HIGH,5198665.824335534,3.0,52
11,A10026484,해운대자이2차1단지,해운대구,우동,813.0,['해림초등학교'],해강중; 해운대여중; 해운대중,86.82235294117646,HIGH,12670281.336365834,5.0,56
12,A61202011,센텀두산위브,해운대구,우동,581.0,['강동초등학교'],해강중; 해운대여중; 해운대중,86.82235294117646,HIGH,8614602.457280045,13.0,35
13,A61274213,롯데,해운대구,우동,852.0,['해림초등학교'],해강중; 해운대여중; 해운대중,86.82235294117646,HIGH,7413955.681282414,17.0,34
14,A61274508,동부올림픽타운,해운대구,우동,1680.0,['해림초등학교'],해강중; 해운대여중; 해운대중,86.82235294117646,HIGH,10706631.96215886,12.0,88
15,A61274707,삼호가든맨션,해운대구,우동,1076.0,['강동초등학교'],해강중; 해운대여중; 해운대중,86.82235294117646,HIGH,11512303.40528031,9.0,31
16,A61286810,반도보라빌,해운대구,우동,548.0,['해림초등학교'],해강중; 해운대여중; 해운대중,86.82235294117646,HIGH,7537632.217724506,16.0,24
17,A60809002,GS하이츠자이,남구,용호동,1149.0,['용문초등학교'],분포중; 용호중,86.5229411764706,HIGH,8598188.96228104,2.0,55
18,A61203032,대우2,해운대구,좌동,1002.0,['좌산초등학교'],신곡중,86.26705882352942,HIGH,5888633.103126147,1.0,46
19,A61203035,경남선경,해운대구,좌동,1358.0,['좌산초등학교'],신곡중,86.26705882352942,HIGH,4477861.319966583,5.0,53
20,A61203038,SKVIEW,해운대구,좌동,1721.0,['좌산초등학교'],신곡중,86.26705882352942,HIGH,4182585.9642067165,6.0,89
21,A61202004,대우트럼프월드센텀,해운대구,우동,564.0,['강동초등학교'],해강중; 해운대여중; 해운대중,85.82235294117646,HIGH,17122686.66362746,1.0,30
22,A61282705,센텀센시빌,해운대구,우동,800.0,['강동초등학교'],해강중; 해운대여중; 해운대중,85.82235294117646,HIGH,6797325.958769873,18.0,36
23,A60809004,엘지메트로시티4-2(230~238),남구,용호동,7374.0,['용문초등학교'],분포중; 용호중,85.5229411764706,HIGH,5696449.473273508,3.0,281
24,A10026391,더블유,남구,용호동,1488.0,['분포초등학교'],분포중; 용호중,84.5229411764706,HIGH,16869126.415056694,1.0,73
25,A10024591,롯데캐슬스타,해운대구,중동,828.0,['해운대초등학교'],신도중; 해운대여중; 해운대중,82.95333333333333,HIGH,12330093.546349034,2.0,57
26,A61201007,롯데캐슬마린,해운대구,중동,792.0,['해운대초등학교'],신도중; 해운대여중; 해운대중,82.95333333333333,HIGH,8179338.1679694755,3.0,46
27,A10023542,해운대센트럴푸르지오,해운대구,우동,548.0,['해운대초등학교'],신도중; 해운대여중; 해운대중,81.95333333333333,HIGH,11501895.240147397,10.0,30
28,A10025181,엘시티,해운대구,중동,882.0,['해운대초등학교'],신도중; 해운대여중; 해운대중,81.95333333333333,HIGH,18541200.526176903,1.0,32
29,A10022568,해운대경동리인뷰2차,해운대구,우동,632.0,['해운대초등학교'],신도중; 해운대여중; 해운대중,80.95333333333333,HIGH,11179456.160645254,11.0,5
30,A61203016,동신,해운대구,좌동,676.0,['부흥초등학교'],부흥중; 상당중,80.32764705882353,HIGH,5533969.151065583,2.0,19
