internal_complex_id,complex_name,sigungu,legal_dong,households,elementary_school,missing_reason,median_price_per_m2,trade_count
A10020645,강서자이에코델타,강서구,강동동,856.0,대저중앙초등학교,MISSING_ELEMENTARY_MIDDLE_RELATION,6830412.888191526,2.0
A10022541,에코델타스마트시티수자인,강서구,강동동,554.0,대저중앙초등학교,MISSING_ELEMENTARY_MIDDLE_RELATION,6302556.01482424,3.0
A10022696,에코델타호반써밋스마트시티,강서구,강동동,526.0,대저중앙초등학교,MISSING_ELEMENTARY_MIDDLE_RELATION,6925729.910377404,2.0
A61872201,부산신호사랑으로부영1차,강서구,신호동,1064.0,송정초등학교,MISSING_ELEMENTARY_MIDDLE_RELATION,2379324.0816148953,1.0
A61872202,부산신호사랑으로부영2차,강서구,신호동,1388.0,송정초등학교,MISSING_ELEMENTARY_MIDDLE_RELATION,2627453.5929833055,4.0
A61990108,이진캐스빌블루1차,기장군,기장읍교리,620.0,교리초등학교,MISSING_ELEMENTARY_MIDDLE_RELATION,4084301.5353460377,30.0
A10020020,부산에코델타시티 디에트르 더 퍼스트아파트,강서구,강동동,972.0,대저중앙초등학교,MISSING_ELEMENTARY_MIDDLE_RELATION,,
A10020264,에코델타 더 베르힐 아파트,강서구,강동동,1120.0,대저중앙초등학교,MISSING_ELEMENTARY_MIDDLE_RELATION,,
A10020378,에코델타시티 푸르지오린,강서구,강동동,895.0,대저중앙초등학교,MISSING_ELEMENTARY_MIDDLE_RELATION,,
A10020569,에코델타시티 푸르지오 센터파크,강서구,강동동,972.0,대저중앙초등학교,MISSING_ELEMENTARY_MIDDLE_RELATION,,
A10020649,e편한세상 에코델타 센터포인트,강서구,강동동,953.0,대저중앙초등학교,MISSING_ELEMENTARY_MIDDLE_RELATION,,
A61872204,부산신호3사랑으로부영3차,강서구,신호동,1278.0,송정초등학교,MISSING_ELEMENTARY_MIDDLE_RELATION,,
A61970415,부산기장교리,기장군,기장읍,875.0,교리초등학교,MISSING_ELEMENTARY_MIDDLE_RELATION,,
A60476805,현대,사하구,신평동,992.0,,OTHER,2604548.7894350695,33.0
