school_name,district,E,E_rank_busan,E_rank_district,M,M_rank_busan,M_rank_district,EM_interaction,cluster,linked_apartment_count,500plus_apartment_count
분포초등학교,남구,82.85033112582782,10.0,1.0,85.02867647058824,8.0,1.0,0.704465400077912,대규모 안정형,1,1
교동초등학교,동래구,75.1171633554084,28.0,7.0,65.07401960784314,49.0,6.0,0.4888175761075402,대규모 안정형,14,2
구서초등학교,금정구,66.87472406181016,56.0,4.0,71.65588235294118,28.0,3.0,0.47919673597584733,학생감소형,37,2
금강초등학교,동래구,77.53211920529802,20.0,6.0,65.03639705882352,50.0,7.0,0.5042409689447799,신축주거지 급성장형,67,3
금정초등학교,금정구,83.79271523178808,7.0,1.0,59.53970588235293,63.0,10.0,0.4988993619984417,신축주거지 급성장형,37,2
명륜초등학교,동래구,78.46087196467991,17.0,5.0,65.48382352941177,48.0,5.0,0.513791789369887,대규모 안정형,26,3
부곡초등학교,금정구,65.36490066225166,63.0,5.0,60.16691176470589,61.0,9.0,0.3932804210654461,대규모 안정형,11,3
사직초등학교,동래구,80.76136865342164,15.0,4.0,77.10661764705883,13.0,2.0,0.6227235973412545,대규모 안정형,10,5
여고초등학교,동래구,89.16280353200884,3.0,1.0,89.91176470588235,2.0,1.0,0.8016785011686794,신축주거지 급성장형,6,2
장서초등학교,금정구,68.62759381898455,48.0,3.0,74.05539215686275,22.0,1.0,0.5082243373046792,대규모 안정형,49,2
거제초등학교,연제구,79.81103752759383,16.0,3.0,69.20196078431373,36.0,1.0,0.5523080289139939,신축주거지 급성장형,18,1
남문초등학교,연제구,89.40375275938192,2.0,1.0,69.20196078431371,37.0,2.0,0.6186914992425226,신축주거지 급성장형,11,3
창신초등학교,연제구,80.79547461368652,14.0,2.0,69.20196078431371,37.0,2.0,0.5591205265766349,신축주거지 급성장형,18,2
용수초등학교,북구,66.68863134657838,57.0,3.0,69.13676470588237,40.0,1.0,0.46106362139657203,대규모 안정형,4,3
강동초등학교,해운대구,65.61307947019867,59.0,13.0,86.65294117647058,4.0,3.0,0.5685566315738214,대규모 안정형,10,5
남천초등학교,수영구,77.64387417218543,19.0,1.0,61.985588235294124,54.0,1.0,0.48128012134300746,신축주거지 급성장형,53,3
부흥초등학교,해운대구,82.6453642384106,11.0,3.0,77.28455882352941,11.0,8.0,0.6387210513975456,대규모 안정형,8,5
상당초등학교,해운대구,78.09409492273733,18.0,5.0,77.21617647058824,12.0,9.0,0.6030127414864954,대규모 안정형,3,3
신곡초등학교,해운대구,75.86605960264902,25.0,7.0,69.81225490196078,33.0,14.0,0.5296380691387482,대규모 안정형,7,3
신도초등학교,해운대구,67.07527593818985,55.0,12.0,76.2095588235294,19.0,11.0,0.5111777187215946,대규모 안정형,12,2
장산초등학교,해운대구,72.56655629139073,33.0,10.0,63.10441176470588,53.0,17.0,0.45792698485586286,학생감소형,6,3
해강초등학교,해운대구,82.99199779249447,9.0,2.0,88.70588235294117,3.0,2.0,0.7361878392416569,신축주거지 급성장형,14,4
해동초등학교,해운대구,69.79343267108167,44.0,11.0,71.89607843137253,27.0,13.0,0.5017874109314807,학생감소형,20,1
해림초등학교,해운대구,72.85044150110376,32.0,9.0,86.65294117647058,4.0,3.0,0.6312705022075055,대규모 안정형,11,5
해운대초등학교,해운대구,81.58217439293598,13.0,4.0,80.56666666666666,10.0,7.0,0.6572803850257541,신축주거지 급성장형,27,5
용문초등학교,남구,76.70408388520971,23.0,2.0,85.02867647058824,8.0,1.0,0.6522046732648358,대규모 안정형,2,2
두실초등학교,금정구,72.37748344370861,34.0,2.0,72.70441176470587,23.0,2.0,0.5262162358784572,대규모 안정형,11,2
센텀초등학교,해운대구,89.52671081677705,1.0,1.0,99.12941176470589,1.0,1.0,0.8874730180496041,신축주거지 급성장형,3,3
예원초등학교,동래구,84.42207505518763,4.0,2.0,60.6328431372549,59.0,8.0,0.5118750434142751,신축주거지 급성장형,9,1
용소초등학교,남구,76.50546357615895,24.0,3.0,75.31838235294117,20.0,7.0,0.5762267757718154,대규모 안정형,3,3
해원초등학교,해운대구,76.8108719646799,22.0,6.0,86.65294117647058,4.0,3.0,0.6655887970068821,대규모 안정형,8,2
