school_id,school_name,district,elementary_demand_score,elementary_demand_percentile,elementary_cluster,phase7_school_score,phase7_school_percentile,E01,M01,EM_interaction,school_path_group,phase9_data_status,phase7_data_status,combined_data_status,elementary_demand_rank,demand_score_quality,feeder_score_status,closed,suspended,school_path_group_top10,school_path_group_top20,school_path_group_top30,linked_apartment_count,linked_households,500plus_apartment_count,primary_apartment_count,E,M,E_rank_busan,M_rank_busan,E_rank_district,M_rank_district
S020000625,광일초등학교,중구,21.010761589403973,2.3178807947019866,학생감소형,46.52415966386555,37.407407407407405,0.21010761589403973,0.46524159663865544,0.09775080268448438,LOW_E_LOW_M,AVAILABLE,AVAILABLE,BOTH,296.0,MEDIUM,SCORED,N,N,LOW_E_LOW_M,LOW_E_LOW_M,LOW_E_LOW_M,24,269.0,0,0,21.010761589403973,46.52415966386555,296.0,170.0,4.0,3.0
S020000628,대남초등학교,남구,38.21296909492274,26.82119205298013,대규모 안정형,61.6455882352941,79.07407407407408,0.3821296909492274,0.616455882352941,0.23556609580736262,LOW_E_HIGH_M,AVAILABLE,AVAILABLE,BOTH,222.0,MEDIUM,SCORED,N,N,LOW_E_LOW_M,LOW_E_LOW_M,LOW_E_HIGH_M,9,725.0,3,3,38.21296909492274,61.6455882352941,222.0,57.0,19.0,9.0
S020000629,대연초등학교,남구,69.53151214128036,85.43046357615894,학생감소형,38.2235294117647,17.59259259259259,0.6953151214128036,0.382235294117647,0.26577397993767043,HIGH_E_LOW_M,AVAILABLE,AVAILABLE,BOTH,45.0,HIGH,SCORED,N,N,LOW_E_LOW_M,HIGH_E_LOW_M,HIGH_E_LOW_M,83,994.0,1,1,69.53151214128036,38.2235294117647,45.0,223.0,4.0,20.0
S020000630,대천초등학교,남구,59.75827814569536,68.54304635761589,학생감소형,61.6455882352941,79.07407407407408,0.5975827814569535,0.616455882352941,0.368383420821971,LOW_E_HIGH_M,AVAILABLE,AVAILABLE,BOTH,96.0,HIGH,SCORED,N,N,LOW_E_LOW_M,LOW_E_LOW_M,LOW_E_HIGH_M,44,965.0,1,1,59.75827814569536,61.6455882352941,96.0,57.0,8.0,9.0
S020000632,동일중앙초등학교,동구,67.08349889624725,82.78145695364239,대규모 안정형,39.7735294117647,20.555555555555554,0.6708349889624725,0.39773529411764696,0.26681475163939744,HIGH_E_LOW_M,AVAILABLE,AVAILABLE,BOTH,53.0,HIGH,SCORED,N,N,LOW_E_LOW_M,HIGH_E_LOW_M,HIGH_E_LOW_M,39,856.0,2,2,67.08349889624725,39.7735294117647,53.0,215.0,1.0,2.0
S020000633,동천초등학교,남구,40.825386313465785,34.105960264900666,학생감소형,46.784558823529416,41.48148148148148,0.40825386313465784,0.46784558823529415,0.19099976874756527,LOW_E_LOW_M,AVAILABLE,AVAILABLE,BOTH,200.0,MEDIUM,SCORED,N,N,LOW_E_LOW_M,LOW_E_LOW_M,LOW_E_LOW_M,9,548.0,1,1,40.825386313465785,46.784558823529416,200.0,159.0,17.0,16.0
S020000634,동항초등학교,남구,34.4992825607064,18.211920529801322,학생감소형,47.211029411764706,44.074074074074076,0.34499282560706396,0.47211029411764704,0.1628746643658291,LOW_E_LOW_M,AVAILABLE,AVAILABLE,BOTH,248.0,MEDIUM,SCORED,N,N,LOW_E_LOW_M,LOW_E_LOW_M,LOW_E_LOW_M,14,885.0,1,1,34.4992825607064,47.211029411764706,248.0,152.0,20.0,14.0
S020000635,문현초등학교,남구,43.80700883002207,42.384105960264904,학생감소형,50.20735294117647,50.74074074074074,0.4380700883002207,0.5020735294117646,0.2199433953626152,LOW_E_LOW_M,AVAILABLE,AVAILABLE,BOTH,175.0,HIGH,SCORED,N,N,LOW_E_LOW_M,LOW_E_LOW_M,LOW_E_LOW_M,16,693.0,2,2,43.80700883002207,50.20735294117647,175.0,134.0,15.0,12.0
S020000637,백운초등학교,남구,24.534823399558498,5.629139072847682,학생감소형,76.49852941176471,94.25925925925925,0.24534823399558497,0.764985294117647,0.18768779094435786,LOW_E_HIGH_M,AVAILABLE,AVAILABLE,BOTH,286.0,MEDIUM,SCORED,N,N,LOW_E_HIGH_M,LOW_E_HIGH_M,LOW_E_HIGH_M,18,773.0,1,1,24.534823399558498,76.49852941176471,286.0,15.0,21.0,3.0
S020000638,범일초등학교,동구,32.63118101545253,14.56953642384106,학생감소형,41.629411764705885,26.296296296296294,0.3263118101545253,0.41629411764705887,0.1358416870860927,LOW_E_LOW_M,AVAILABLE,AVAILABLE,BOTH,259.0,MEDIUM,SCORED,N,N,LOW_E_LOW_M,LOW_E_LOW_M,LOW_E_LOW_M,22,101.0,0,0,32.63118101545253,41.629411764705885,259.0,200.0,5.0,1.0
