data_year,sigungu,sgg_code,api_type,dataset,status,rows,reused,reason
2024,중구,26110,09,grade_students,ok,4,True,
2024,중구,26110,10,transfers,ok,4,True,
2024,서구,26140,09,grade_students,ok,11,True,
2024,서구,26140,10,transfers,ok,11,True,
2024,동구,26170,09,grade_students,ok,6,True,
2024,동구,26170,10,transfers,ok,6,True,
2024,영도구,26200,09,grade_students,ok,14,True,
2024,영도구,26200,10,transfers,ok,14,True,
2024,부산진구,26230,09,grade_students,ok,32,True,
2024,부산진구,26230,10,transfers,ok,32,True,
2024,동래구,26260,09,grade_students,ok,23,True,
2024,동래구,26260,10,transfers,ok,23,True,
2024,남구,26290,09,grade_students,ok,20,True,
2024,남구,26290,10,transfers,ok,20,True,
2024,북구,26320,09,grade_students,ok,27,True,
2024,북구,26320,10,transfers,ok,27,True,
2024,해운대구,26350,09,grade_students,ok,32,True,
2024,해운대구,26350,10,transfers,ok,32,True,
2024,사하구,26380,09,grade_students,ok,26,True,
2024,사하구,26380,10,transfers,ok,26,True,
2024,금정구,26410,09,grade_students,ok,21,True,
2024,금정구,26410,10,transfers,ok,21,True,
2024,강서구,26440,09,grade_students,ok,19,True,
2024,강서구,26440,10,transfers,ok,19,True,
2024,연제구,26470,09,grade_students,ok,16,True,
2024,연제구,26470,10,transfers,ok,16,True,
2024,수영구,26500,09,grade_students,ok,10,True,
2024,수영구,26500,10,transfers,ok,10,True,
2024,사상구,26530,09,grade_students,ok,21,True,
2024,사상구,26530,10,transfers,ok,21,True,
2024,기장군,26710,09,grade_students,ok,22,True,
2024,기장군,26710,10,transfers,ok,22,True,
2025,중구,26110,09,grade_students,ok,4,True,
2025,중구,26110,10,transfers,ok,4,True,
2025,서구,26140,09,grade_students,ok,11,True,
2025,서구,26140,10,transfers,ok,11,True,
2025,동구,26170,09,grade_students,ok,6,True,
2025,동구,26170,10,transfers,ok,6,True,
2025,영도구,26200,09,grade_students,ok,14,True,
2025,영도구,26200,10,transfers,ok,14,True,
2025,부산진구,26230,09,grade_students,ok,30,True,
2025,부산진구,26230,10,transfers,ok,30,True,
2025,동래구,26260,09,grade_students,ok,23,True,
2025,동래구,26260,10,transfers,ok,23,True,
2025,남구,26290,09,grade_students,ok,20,True,
2025,남구,26290,10,transfers,ok,20,True,
2025,북구,26320,09,grade_students,ok,27,True,
2025,북구,26320,10,transfers,ok,27,True,
2025,해운대구,26350,09,grade_students,ok,32,True,
2025,해운대구,26350,10,transfers,ok,32,True,
2025,사하구,26380,09,grade_students,ok,26,True,
2025,사하구,26380,10,transfers,ok,26,True,
2025,금정구,26410,09,grade_students,ok,21,True,
2025,금정구,26410,10,transfers,ok,21,True,
2025,강서구,26440,09,grade_students,ok,20,True,
2025,강서구,26440,10,transfers,ok,20,True,
2025,연제구,26470,09,grade_students,ok,16,True,
2025,연제구,26470,10,transfers,ok,16,True,
2025,수영구,26500,09,grade_students,ok,10,True,
2025,수영구,26500,10,transfers,ok,10,True,
2025,사상구,26530,09,grade_students,ok,21,True,
2025,사상구,26530,10,transfers,ok,21,True,
2025,기장군,26710,09,grade_students,ok,22,True,
2025,기장군,26710,10,transfers,ok,22,True,
2026,중구,26110,09,grade_students,ok,4,True,
2026,중구,26110,10,transfers,ok,4,True,
2026,서구,26140,09,grade_students,ok,11,True,
2026,서구,26140,10,transfers,ok,11,True,
2026,동구,26170,09,grade_students,ok,6,True,
2026,동구,26170,10,transfers,ok,6,True,
2026,영도구,26200,09,grade_students,ok,12,True,
2026,영도구,26200,10,transfers,ok,12,True,
2026,부산진구,26230,09,grade_students,ok,30,True,
2026,부산진구,26230,10,transfers,ok,30,True,
2026,동래구,26260,09,grade_students,ok,23,True,
2026,동래구,26260,10,transfers,ok,23,True,
2026,남구,26290,09,grade_students,ok,21,True,
2026,남구,26290,10,transfers,ok,21,True,
2026,북구,26320,09,grade_students,ok,27,True,
2026,북구,26320,10,transfers,ok,27,True,
2026,해운대구,26350,09,grade_students,ok,32,True,
2026,해운대구,26350,10,transfers,ok,32,True,
2026,사하구,26380,09,grade_students,ok,26,True,
2026,사하구,26380,10,transfers,ok,26,True,
2026,금정구,26410,09,grade_students,ok,21,True,
2026,금정구,26410,10,transfers,ok,21,True,
2026,강서구,26440,09,grade_students,ok,21,True,
2026,강서구,26440,10,transfers,ok,21,True,
2026,연제구,26470,09,grade_students,ok,16,True,
2026,연제구,26470,10,transfers,ok,16,True,
2026,수영구,26500,09,grade_students,ok,10,True,
2026,수영구,26500,10,transfers,ok,10,True,
2026,사상구,26530,09,grade_students,ok,20,True,
2026,사상구,26530,10,transfers,ok,20,True,
2026,기장군,26710,09,grade_students,ok,22,True,
2026,기장군,26710,10,transfers,ok,22,True,
