elementary_school_id,elementary_school_name,SCHUL_KND_SC_CODE,ADRCD_CD,ADRCD_NM,JU_ORG_CODE,JU_ORG_NM,PBAN_EXCP_YN,BNHH_YN,grade1_students,grade2_students,grade3_students,grade4_students,grade5_students,grade6_students,special_students,itinerant_students,grade1_classes,grade2_classes,grade3_classes,grade4_classes,grade5_classes,grade6_classes,special_classes,itinerant_classes,total_students,total_classes,students_per_class,sigungu_requested,grade_source_document,grade_source_sha256,grade1_transfer_in,grade2_transfer_in,grade3_transfer_in,grade4_transfer_in,grade5_transfer_in,grade6_transfer_in,grade1_transfer_out,grade2_transfer_out,grade3_transfer_out,grade4_transfer_out,grade5_transfer_out,grade6_transfer_out,transfer_in,transfer_out,transfer_report_students,transfer_source_document,transfer_source_sha256,data_year,source_name,parser_version,grade_student_sum,non_regular_students,student_sum_difference,student_reconciliation_difference,grade_transfer_in_sum,grade_transfer_out_sum,transfer_in_difference,transfer_out_difference,net_transfer_rate,upper_lower_ratio,adjusted_upper_grade_index,observed_years,first_year,latest_year,student_growth_3y,student_trend_slope,student_trend_slope_rate,cohort_growth,adjusted_cohort_growth,demand_reliability,shrunk_net_transfer_rate,shrunk_student_growth_3y,shrunk_student_trend_slope_rate,shrunk_adjusted_upper_grade_index,shrunk_adjusted_cohort_growth,longitudinal_complete,pct_total_students,pct_students_per_class,size_component_score,pct_shrunk_net_transfer_rate,mobility_component_score,pct_shrunk_student_growth_3y,pct_shrunk_student_trend_slope_rate,growth_component_score,pct_shrunk_adjusted_upper_grade_index,pct_shrunk_adjusted_cohort_growth,upper_cohort_component_score,elementary_demand_score,demand_score_quality,elementary_demand_rank,elementary_demand_percentile,demand_cluster_id,demand_cluster_name
S020001905,센텀초등학교,02,2635010400,부산광역시 해운대구,C100000312,부산광역시해운대교육지원청,N,N,154,204,216,245,277,306,3,0,6,8,8,9,11,12,1,0,1405,55,25.5,해운대구,data/raw/phase9_schoolinfo/2026/26350_09.json,cab770c537c5227ed3b9b137049e813502dbc2712da9d1854b2afa24a0c4e96e,14,17,34,37,26,34,5,7,10,12,8,3,162,45,1453,data/raw/phase9_schoolinfo/2026/26350_10.json,f1e2f62afaf4cfb2f21a0cdf35c68be0500fc90e484b679e7818a78a1f1ade7f,2026,학교알리미 Open API 09·10,phase9-schoolinfo-1.0,1402,3,3,0,162,45,0,0,0.0805230557467309,1.6284916201117319,1.145062868554436,3,2024,2026,-0.030365769496204287,-22.000000000000178,-0.015323891339679714,0.07370504850063853,0.07612354931682112,0.9335548172757475,0.07528023194456374,-0.03577489959217754,-0.014305692579568105,1.1354241397468323,0.0710655061728463,True,99.50331125827815,98.34437086092716,98.92384105960265,98.0,98.0,87.74834437086093,86.66666666666667,87.20750551876381,59.93377483443708,96.33333333333334,78.13355408388522,89.52671081677705,HIGH,1.0,100.0,0,신축주거지 급성장형
S020001002,남문초등학교,02,2647010100,부산광역시 연제구,C100000202,부산광역시동래교육지원청,N,N,109,149,124,193,228,196,6,0,5,6,5,7,9,8,1,0,1005,41,24.5,연제구,data/raw/phase9_schoolinfo/2026/26470_09.json,210409579e27fbcfdb509e75cfd3bc10621dc5b394d21a2d872cc0a12f762598,8,8,16,21,22,25,2,3,4,3,5,12,100,29,1039,data/raw/phase9_schoolinfo/2026/26470_10.json,74f864ed3ca7b4f19e6312e2d76d48e57d90b550e0af4e6192a5124561cce5a6,2026,학교알리미 Open API 09·10,phase9-schoolinfo-1.0,999,6,6,0,100,29,0,0,0.068334937439846,1.6434108527131783,1.1555532260535253,3,2024,2026,-0.016634050880626194,-8.500000000000597,-0.008317025440313696,0.09299415715933619,0.09541265797551879,0.9095022624434389,0.06229725599950837,-0.025243926587411314,-0.007564353454764945,1.141476011026057,0.08677802829447637,True,93.04635761589404,96.35761589403974,94.7019867549669,97.33333333333334,97.33333333333334,90.06622516556291,88.66666666666667,89.3664459161148,61.58940397350994,97.0,79.29470198675497,89.40375275938192,HIGH,2.0,99.66887417218543,0,신축주거지 급성장형
S020000830,여고초등학교,02,2626010900,부산광역시 동래구,C100000202,부산광역시동래교육지원청,N,N,102,111,149,157,199,230,6,0,4,4,5,6,8,9,1,0,954,37,25.8,동래구,data/raw/phase9_schoolinfo/2026/26260_09.json,df60cbdedc64ae94d30f2dea8fb9a3d4a3fc4048048a3f0193dd2b8d10cf4724,6,18,17,18,24,39,3,3,8,9,7,6,122,36,1004,data/raw/phase9_schoolinfo/2026/26260_10.json,de615eb30ec7c1cef6dd9a520d5ffd030d75d18293a60cb95b1980e84a89173e,2026,학교알리미 Open API 09·10,phase9-schoolinfo-1.0,948,6,6,0,122,36,0,0,0.08565737051792828,2.0140845070422535,1.4161898990838013,3,2024,2026,-0.09829867674858228,-51.99999999999708,-0.051724137931031575,0.0816729582804117,0.0840914590965943,0.905123339658444,0.07768404860200673,-0.09957709237401108,-0.046816724465089304,1.376703191390841,0.07611314229426087,True,92.21854304635761,98.67549668874173,95.44701986754967,98.33333333333333,98.33333333333333,73.84105960264901,66.0,69.9205298013245,90.06622516556291,96.66666666666667,93.3664459161148,89.16280353200884,HIGH,3.0,99.33774834437085,0,신축주거지 급성장형
S020001917,예원초등학교,02,2626010900,부산광역시 동래구,C100000202,부산광역시동래교육지원청,N,N,120,124,120,168,180,174,5,0,5,5,5,6,7,7,1,0,891,36,24.8,동래구,data/raw/phase9_schoolinfo/2026/26260_09.json,df60cbdedc64ae94d30f2dea8fb9a3d4a3fc4048048a3f0193dd2b8d10cf4724,6,10,18,21,16,18,3,6,6,9,7,9,89,40,875,data/raw/phase9_schoolinfo/2026/26260_10.json,de615eb30ec7c1cef6dd9a520d5ffd030d75d18293a60cb95b1980e84a89173e,2026,학교알리미 Open API 09·10,phase9-schoolinfo-1.0,886,5,5,0,89,40,0,0,0.056,1.4508196721311475,1.0201340399969123,3,2024,2026,-0.04705882352941182,-21.999999999997062,-0.024435394298404734,0.07390023782089376,0.07631873863707636,0.8990918264379415,0.0505124679640883,-0.053589030785838654,-0.021969663289483975,1.0181023507943985,0.06861755411264887,True,90.23178807947019,97.18543046357617,93.70860927152319,97.0,97.0,85.09933774834437,82.66666666666667,83.88300220750551,40.397350993377486,96.0,68.19867549668874,84.42207505518763,HIGH,4.0,99.00662251655629,0,신축주거지 급성장형
S020002353,대저중앙초등학교,02,2644010300,부산광역시 강서구,C100000258,부산광역시북부교육지원청,N,N,250,226,201,191,184,147,6,0,10,9,8,7,7,6,1,0,1205,48,25.1,강서구,data/raw/phase9_schoolinfo/2026/26440_09.json,ff39ad7c1dbe1a8964f3c70669dc4f63d0475a82a85108aff5763d01de50cff5,131,198,172,169,143,107,1,2,2,2,1,1,920,9,369,data/raw/phase9_schoolinfo/2026/26440_10.json,9af6976708fefcf60f032dfea9a539831b83a66d068e86bbea96ce9b2c7c3ce1,2026,학교알리미 Open API 09·10,phase9-schoolinfo-1.0,1199,6,6,0,920,9,0,0,2.4688346883468837,0.6953781512605042,0.488950443943827,2,2025,2026,2.265582655826558,835.9999999998724,1.06226175349412,2.042921077455193,2.0451035284164996,0.9233716475095786,2.2797759810041427,2.0834097950398025,0.9808623854102795,0.5281113294653728,1.8883906143615954,False,97.35099337748345,97.68211920529801,97.51655629139073,99.66666666666667,99.66666666666667,99.50331125827815,99.66666666666667,99.58498896247241,0.8278145695364238,99.66666666666667,50.24724061810155,84.39039735099338,MEDIUM,5.0,98.67549668874173,0,신축주거지 급성장형
S020000831,온천초등학교,02,2626010800,부산광역시 동래구,C100000202,부산광역시동래교육지원청,N,N,164,161,166,201,157,206,14,0,8,6,6,8,6,8,2,0,1069,44,24.3,동래구,data/raw/phase9_schoolinfo/2026/26260_09.json,df60cbdedc64ae94d30f2dea8fb9a3d4a3fc4048048a3f0193dd2b8d10cf4724,4,18,19,22,16,24,5,3,4,5,3,3,103,23,1051,data/raw/phase9_schoolinfo/2026/26260_10.json,de615eb30ec7c1cef6dd9a520d5ffd030d75d18293a60cb95b1980e84a89173e,2026,학교알리미 Open API 09·10,phase9-schoolinfo-1.0,1055,14,14,0,103,23,0,0,0.07611798287345385,1.116923076923077,0.7853569073499045,3,2024,2026,0.11354166666666665,54.49999999999531,0.053084415584411015,0.09789026518150232,0.10030876599768493,0.9144568006843456,0.06974506368189365,0.09426751404842301,0.048543404841518714,0.8037181642062001,0.09172803323483764,True,94.70198675496688,95.69536423841059,95.19867549668874,97.66666666666667,97.66666666666667,96.35761589403974,95.66666666666667,96.0121412803532,11.920529801324504,97.66666666666667,54.79359823399559,83.8975165562914,HIGH,6.0,98.34437086092716,0,신축주거지 급성장형
S020000807,금정초등학교,02,2641010800,부산광역시 금정구,C100000202,부산광역시동래교육지원청,N,N,214,221,209,209,246,212,14,0,9,9,8,8,10,9,2,0,1325,55,24.1,금정구,data/raw/phase9_schoolinfo/2026/26410_09.json,23473b42a747e1e7bae3d9dc20ce7657042f0ba5ad71b7aad531d46acbe96ac3,6,16,14,21,14,15,4,6,9,9,2,12,86,42,1300,data/raw/phase9_schoolinfo/2026/26410_10.json,33fec4c40416cf68e18ffe566610e97817adc2bdc486bfc676a8a819142b7dec,2026,학교알리미 Open API 09·10,phase9-schoolinfo-1.0,1311,14,14,0,86,42,0,0,0.033846153846153845,1.0528735632183908,0.7403209249804205,3,2024,2026,0.3561924257932447,173.99999999998374,0.14491948917266828,0.17677649189689326,0.17919499271307587,0.9298245614035088,0.031584568139344106,0.32335273433823797,0.13474970045879683,0.7585440179642506,0.16661990550514072,True,98.67549668874173,94.70198675496688,96.68874172185431,93.66666666666667,93.66666666666667,99.50331125827815,99.66666666666667,99.58498896247241,7.9470198675496695,99.66666666666667,53.80684326710817,83.79271523178808,HIGH,7.0,98.01324503311258,0,신축주거지 급성장형
S020001020,양정초등학교,02,2623010100,부산광역시 부산진구,C100000175,부산광역시남부교육지원청,N,N,128,124,123,146,153,149,14,0,6,6,6,7,7,7,2,0,837,41,20.4,부산진구,data/raw/phase9_schoolinfo/2026/26230_09.json,555a32fa929a6df84bcf1b61addc674b141031686aa655419428c407b4579b6d,10,45,46,42,43,22,3,5,3,5,7,7,208,30,747,data/raw/phase9_schoolinfo/2026/26230_10.json,a43b0fb36be8b1bafc4dd222461237e77fb808a92c03bafc10cc76d3e50f6bf5,2026,학교알리미 Open API 09·10,phase9-schoolinfo-1.0,823,14,14,0,208,30,0,0,0.23828647925033467,1.1984126984126984,0.8426557835540812,3,2024,2026,0.3766447368421053,114.49999999999267,0.15670620437955202,0.189274111634022,0.19169261245020458,0.8932764140875133,0.2130284299732568,0.3245190256059573,0.13998195631343122,0.8594481225557802,0.17123448945658618,True,87.41721854304636,68.70860927152319,78.06291390728478,99.66666666666667,99.66666666666667,99.50331125827815,99.66666666666667,99.58498896247241,17.880794701986755,99.66666666666667,58.773730684326715,83.05761589403974,HIGH,8.0,97.68211920529801,0,신축주거지 급성장형
S020001690,해강초등학교,02,2635010500,부산광역시 해운대구,C100000312,부산광역시해운대교육지원청,N,N,96,103,123,134,158,132,6,0,5,4,5,5,6,6,1,0,752,32,23.5,해운대구,data/raw/phase9_schoolinfo/2026/26350_09.json,cab770c537c5227ed3b9b137049e813502dbc2712da9d1854b2afa24a0c4e96e,3,11,9,10,5,7,1,4,5,4,3,2,45,19,750,data/raw/phase9_schoolinfo/2026/26350_10.json,f1e2f62afaf4cfb2f21a0cdf35c68be0500fc90e484b679e7818a78a1f1ade7f,2026,학교알리미 Open API 09·10,phase9-schoolinfo-1.0,746,6,6,0,45,19,0,0,0.034666666666666665,1.4572864321608041,1.0246810985745325,3,2024,2026,-0.019556714471968717,-7.49999999999919,-0.009916262670779007,0.03791517605206594,0.040333676868248534,0.8826291079812206,0.030787780617071405,-0.030380242989413914,-0.008752382075617151,1.0217842560188362,0.035599677235824995,True,85.09933774834437,91.05960264900662,88.0794701986755,93.33333333333333,93.33333333333333,89.40397350993378,87.66666666666667,88.53532008830022,41.05960264900662,91.66666666666666,66.36313465783664,82.99199779249447,HIGH,9.0,97.35099337748345,0,신축주거지 급성장형
S020000641,분포초등학교,02,2629010700,부산광역시 남구,C100000175,부산광역시남부교육지원청,N,N,116,116,139,163,181,197,5,0,5,5,6,7,8,8,1,0,917,40,22.9,남구,data/raw/phase9_schoolinfo/2026/26290_09.json,46a640ac0e6c5e42fcd10fb9447f03264b6e4d91cc3e2cf01fa94d3eb3fdd8c5,5,12,10,20,14,13,3,6,9,2,5,6,74,31,958,data/raw/phase9_schoolinfo/2026/26290_10.json,38ffcf1bede365dc5722d477c4136bf6cd0f05936eec8896d158773139b02ca3,2026,학교알리미 Open API 09·10,phase9-schoolinfo-1.0,912,5,5,0,74,31,0,0,0.04488517745302714,1.6293103448275863,1.1456385493010328,3,2024,2026,-0.09207920792079205,-46.499999999997314,-0.04835355285961593,0.04421150325585836,0.046630004072040966,0.9016715830875123,0.04063083921026293,-0.09401568476639773,-0.0435990245548356,1.131318141306831,0.04204494959101432,True,91.05960264900662,88.24503311258279,89.6523178807947,96.0,96.0,75.82781456953643,70.0,72.91390728476821,58.609271523178805,92.66666666666666,75.63796909492274,82.85033112582782,HIGH,10.0,97.01986754966887,2,대규모 안정형
S020001663,부흥초등학교,02,2635010700,부산광역시 해운대구,C100000312,부산광역시해운대교육지원청,N,N,83,86,101,129,143,154,6,0,4,4,4,5,6,6,1,0,702,30,23.4,해운대구,data/raw/phase9_schoolinfo/2026/26350_09.json,cab770c537c5227ed3b9b137049e813502dbc2712da9d1854b2afa24a0c4e96e,1,11,12,12,9,9,3,6,3,5,5,2,54,24,731,data/raw/phase9_schoolinfo/2026/26350_10.json,f1e2f62afaf4cfb2f21a0cdf35c68be0500fc90e484b679e7818a78a1f1ade7f,2026,학교알리미 Open API 09·10,phase9-schoolinfo-1.0,696,6,6,0,54,24,0,0,0.04103967168262654,1.757396449704142,1.2357014276484513,3,2024,2026,-0.1091370558375635,-42.99999999999696,-0.05808194506978427,0.048787146177118365,0.05120564699330097,0.8753117206982544,0.03612432079004406,-0.10946574930427651,-0.05083980728053436,1.206312222206001,0.04482090297917367,True,82.45033112582782,90.23178807947019,86.34105960264901,95.33333333333334,95.33333333333334,71.19205298013244,63.33333333333333,67.2626931567329,71.8543046357616,93.0,82.4271523178808,82.6453642384106,HIGH,11.0,96.68874172185431,2,대규모 안정형
