elementary_school_id,master_school_name,sigungu,closed,suspended,elementary_school_name,school_id_linkage_status
S020001245,눌차초등학교,강서구,Y,N,,MASTER_CLOSED_NOT_IN_2026_API
S020001248,대저중앙초등학교,강서구,Y,N,,MASTER_CLOSED_NOT_IN_2026_API
S020001252,덕도초등학교,강서구,Y,N,,MASTER_CLOSED_NOT_IN_2026_API
S020001272,삼광초등학교,강서구,Y,N,,MASTER_CLOSED_NOT_IN_2026_API
S020001276,세산초등학교,강서구,Y,N,,MASTER_CLOSED_NOT_IN_2026_API
S020001278,송정초등학교,강서구,Y,N,,MASTER_CLOSED_NOT_IN_2026_API
S020000823,서곡초등학교,금정구,Y,N,,MASTER_CLOSED_NOT_IN_2026_API
S020000837,회동초등학교,금정구,Y,N,,MASTER_CLOSED_NOT_IN_2026_API
S020000657,좌성초등학교,동구,Y,N,,MASTER_CLOSED_NOT_IN_2026_API
S020000658,좌천초등학교,동구,Y,N,,MASTER_CLOSED_NOT_IN_2026_API
S020000990,가산초등학교,부산진구,Y,N,,MASTER_CLOSED_NOT_IN_2026_API
S020001033,주원초등학교,부산진구,Y,N,,MASTER_CLOSED_NOT_IN_2026_API
S020001446,감정초등학교,사하구,Y,N,,MASTER_CLOSED_NOT_IN_2026_API
S020001844,위봉초등학교,해운대구,Y,N,,MASTER_CLOSED_NOT_IN_2026_API
S020001238,괘법초등학교,사상구,N,N,,MASTER_OPEN_NOT_IN_2026_API
S020001463,봉삼초등학교,영도구,N,N,,MASTER_OPEN_NOT_IN_2026_API
S020001474,신선초등학교,영도구,N,N,,MASTER_OPEN_NOT_IN_2026_API
S020001235,가락초등학교,강서구,N,N,가락초등학교,MATCHED
S020001244,녹명초등학교,강서구,N,N,녹명초등학교,MATCHED
S020001246,대사초등학교,강서구,N,N,대사초등학교,MATCHED
S020001247,대상초등학교,강서구,N,N,대상초등학교,MATCHED
S020001250,대저초등학교,강서구,N,N,대저초등학교,MATCHED
S020001253,덕두초등학교,강서구,N,N,덕두초등학교,MATCHED
S020001263,명지초등학교,강서구,N,N,명지초등학교,MATCHED
S020001268,배영초등학교,강서구,N,N,배영초등학교,MATCHED
S020001281,신호초등학교,강서구,N,N,신호초등학교,MATCHED
S020001290,천가초등학교,강서구,N,N,천가초등학교,MATCHED
S020002006,명호초등학교,강서구,N,N,명호초등학교,MATCHED
S020002041,남명초등학교,강서구,N,N,남명초등학교,MATCHED
S020002054,녹산초등학교,강서구,N,N,녹산초등학교,MATCHED
S020002202,송정초등학교,강서구,N,N,송정초등학교,MATCHED
S020002213,오션초등학교,강서구,N,N,오션초등학교,MATCHED
S020002232,신명초등학교,강서구,N,N,신명초등학교,MATCHED
S020002257,명일초등학교,강서구,N,N,명일초등학교,MATCHED
S020002276,명원초등학교,강서구,N,N,명원초등학교,MATCHED
S020002353,대저중앙초등학교,강서구,N,N,대저중앙초등학교,MATCHED
S020002361,명문초등학교,강서구,N,N,명문초등학교,MATCHED
S020002370,강서초등학교,강서구,N,N,강서초등학교,MATCHED
S020000642,부산삼육초등학교,금정구,N,N,부산삼육초등학교,MATCHED
S020000800,공덕초등학교,금정구,N,N,공덕초등학교,MATCHED
S020000802,구서초등학교,금정구,N,N,구서초등학교,MATCHED
S020000804,금사초등학교,금정구,N,N,금사초등학교,MATCHED
S020000805,금성초등학교,금정구,N,N,금성초등학교,MATCHED
S020000806,금양초등학교,금정구,N,N,금양초등학교,MATCHED
S020000807,금정초등학교,금정구,N,N,금정초등학교,MATCHED
S020000809,남산초등학교,금정구,N,N,남산초등학교,MATCHED
S020000813,동래초등학교,금정구,N,N,동래초등학교,MATCHED
S020000814,동상초등학교,금정구,N,N,동상초등학교,MATCHED
S020000815,동현초등학교,금정구,N,N,동현초등학교,MATCHED
S020000821,부곡초등학교,금정구,N,N,부곡초등학교,MATCHED
S020000824,서동초등학교,금정구,N,N,서동초등학교,MATCHED
S020000825,서명초등학교,금정구,N,N,서명초등학교,MATCHED
S020000832,장서초등학교,금정구,N,N,장서초등학교,MATCHED
S020000833,장전초등학교,금정구,N,N,장전초등학교,MATCHED
S020000834,청룡초등학교,금정구,N,N,청룡초등학교,MATCHED
S020000835,현곡초등학교,금정구,N,N,현곡초등학교,MATCHED
S020001872,금샘초등학교,금정구,N,N,금샘초등학교,MATCHED
S020001902,두실초등학교,금정구,N,N,두실초등학교,MATCHED
S020002149,금빛초등학교,금정구,N,N,금빛초등학교,MATCHED
S020001648,교리초등학교,기장군,N,N,교리초등학교,MATCHED
S020001649,기장초등학교,기장군,N,N,기장초등학교,MATCHED
S020001651,용암초등학교,기장군,N,N,용암초등학교,MATCHED
S020001652,대청초등학교,기장군,N,N,대청초등학교,MATCHED
S020001672,신진초등학교,기장군,N,N,신진초등학교,MATCHED
S020001676,월내초등학교,기장군,N,N,월내초등학교,MATCHED
S020001677,월평초등학교,기장군,N,N,월평초등학교,MATCHED
S020001681,장안초등학교,기장군,N,N,장안초등학교,MATCHED
S020001683,정관초등학교,기장군,N,N,정관초등학교,MATCHED
S020001686,좌천초등학교,기장군,N,N,좌천초등학교,MATCHED
S020001687,죽성초등학교,기장군,N,N,죽성초등학교,MATCHED
S020001688,철마초등학교,기장군,N,N,철마초등학교,MATCHED
S020001689,칠암초등학교,기장군,N,N,칠암초등학교,MATCHED
S020002003,내리초등학교,기장군,N,N,내리초등학교,MATCHED
S020002010,신정초등학교,기장군,N,N,신정초등학교,MATCHED
S020002016,달산초등학교,기장군,N,N,달산초등학교,MATCHED
S020002053,방곡초등학교,기장군,N,N,방곡초등학교,MATCHED
S020002071,정원초등학교,기장군,N,N,정원초등학교,MATCHED
S020002182,모전초등학교,기장군,N,N,모전초등학교,MATCHED
S020002198,가동초등학교,기장군,N,N,가동초등학교,MATCHED
S020002277,일광초등학교,기장군,N,N,일광초등학교,MATCHED
S020002312,해빛초등학교,기장군,N,N,해빛초등학교,MATCHED
S020000628,대남초등학교,남구,N,N,대남초등학교,MATCHED
S020000629,대연초등학교,남구,N,N,대연초등학교,MATCHED
S020000630,대천초등학교,남구,N,N,대천초등학교,MATCHED
S020000633,동천초등학교,남구,N,N,동천초등학교,MATCHED
S020000634,동항초등학교,남구,N,N,동항초등학교,MATCHED
S020000635,문현초등학교,남구,N,N,문현초등학교,MATCHED
S020000637,백운초등학교,남구,N,N,백운초등학교,MATCHED
S020000641,분포초등학교,남구,N,N,분포초등학교,MATCHED
S020000643,석포초등학교,남구,N,N,석포초등학교,MATCHED
S020000645,성동초등학교,남구,N,N,성동초등학교,MATCHED
S020000646,성천초등학교,남구,N,N,성천초등학교,MATCHED
S020000649,신연초등학교,남구,N,N,신연초등학교,MATCHED
S020000650,연포초등학교,남구,N,N,연포초등학교,MATCHED
S020000651,용당초등학교,남구,N,N,용당초등학교,MATCHED
S020000652,용산초등학교,남구,N,N,용산초등학교,MATCHED
S020000654,용호초등학교,남구,N,N,용호초등학교,MATCHED
S020000655,우암초등학교,남구,N,N,우암초등학교,MATCHED
S020000656,운산초등학교,남구,N,N,운산초등학교,MATCHED
S020001867,용문초등학교,남구,N,N,용문초등학교,MATCHED
S020002001,오륙도초등학교,남구,N,N,오륙도초등학교,MATCHED
S020002045,용소초등학교,남구,N,N,용소초등학교,MATCHED
S020000632,동일중앙초등학교,동구,N,N,동일중앙초등학교,MATCHED
S020000638,범일초등학교,동구,N,N,범일초등학교,MATCHED
S020000644,성남초등학교,동구,N,N,성남초등학교,MATCHED
S020000647,수성초등학교,동구,N,N,수성초등학교,MATCHED
S020000648,수정초등학교,동구,N,N,수정초등학교,MATCHED
S020000660,초량초등학교,동구,N,N,초량초등학교,MATCHED
S020000801,교동초등학교,동래구,N,N,교동초등학교,MATCHED
S020000803,금강초등학교,동래구,N,N,금강초등학교,MATCHED
S020000808,낙민초등학교,동래구,N,N,낙민초등학교,MATCHED
S020000810,내산초등학교,동래구,N,N,내산초등학교,MATCHED
S020000811,내성초등학교,동래구,N,N,내성초등학교,MATCHED
S020000812,달북초등학교,동래구,N,N,달북초등학교,MATCHED
S020000816,명동초등학교,동래구,N,N,명동초등학교,MATCHED
S020000817,명륜초등학교,동래구,N,N,명륜초등학교,MATCHED
S020000818,명서초등학교,동래구,N,N,명서초등학교,MATCHED
S020000819,명장초등학교,동래구,N,N,명장초등학교,MATCHED
S020000820,미남초등학교,동래구,N,N,미남초등학교,MATCHED
S020000822,사직초등학교,동래구,N,N,사직초등학교,MATCHED
S020000826,수안초등학교,동래구,N,N,수안초등학교,MATCHED
S020000827,안남초등학교,동래구,N,N,안남초등학교,MATCHED
S020000828,안락초등학교,동래구,N,N,안락초등학교,MATCHED
S020000829,안민초등학교,동래구,N,N,안민초등학교,MATCHED
S020000830,여고초등학교,동래구,N,N,여고초등학교,MATCHED
S020000831,온천초등학교,동래구,N,N,온천초등학교,MATCHED
S020000836,혜화초등학교,동래구,N,N,혜화초등학교,MATCHED
S020001814,충렬초등학교,동래구,N,N,충렬초등학교,MATCHED
S020001903,안진초등학교,동래구,N,N,안진초등학교,MATCHED
S020001917,예원초등학교,동래구,N,N,예원초등학교,MATCHED
S020002066,온샘초등학교,동래구,N,N,온샘초등학교,MATCHED
S020000989,가남초등학교,부산진구,N,N,가남초등학교,MATCHED
S020000991,가야초등학교,부산진구,N,N,가야초등학교,MATCHED
S020000992,가평초등학교,부산진구,N,N,가평초등학교,MATCHED
S020000993,개금초등학교,부산진구,N,N,개금초등학교,MATCHED
S020000995,개림초등학교,부산진구,N,N,개림초등학교,MATCHED
S020000996,개원초등학교,부산진구,N,N,개원초등학교,MATCHED
S020000997,개포초등학교,부산진구,N,N,개포초등학교,MATCHED
S020000998,개화초등학교,부산진구,N,N,개화초등학교,MATCHED
S020001003,당감초등학교,부산진구,N,N,당감초등학교,MATCHED
S020001004,당평초등학교,부산진구,N,N,당평초등학교,MATCHED
S020001006,동성초등학교,부산진구,N,N,동성초등학교,MATCHED
S020001007,동원초등학교,부산진구,N,N,동원초등학교,MATCHED
S020001008,동평초등학교,부산진구,N,N,동평초등학교,MATCHED
S020001010,부산진초등학교,부산진구,N,N,부산진초등학교,MATCHED
S020001011,부암초등학교,부산진구,N,N,부암초등학교,MATCHED
S020001012,부전초등학교,부산진구,N,N,부전초등학교,MATCHED
S020001013,선암초등학교,부산진구,N,N,선암초등학교,MATCHED
S020001014,성북초등학교,부산진구,N,N,성북초등학교,MATCHED
S020001015,성서초등학교,부산진구,N,N,성서초등학교,MATCHED
S020001016,성전초등학교,부산진구,N,N,성전초등학교,MATCHED
S020001017,성지초등학교,부산진구,N,N,성지초등학교,MATCHED
S020001018,양동초등학교,부산진구,N,N,양동초등학교,MATCHED
S020001019,양성초등학교,부산진구,N,N,양성초등학교,MATCHED
S020001020,양정초등학교,부산진구,N,N,양정초등학교,MATCHED
S020001028,연지초등학교,부산진구,N,N,연지초등학교,MATCHED
S020001030,연학초등학교,부산진구,N,N,연학초등학교,MATCHED
S020001031,전포초등학교,부산진구,N,N,전포초등학교,MATCHED
S020001032,주례초등학교,부산진구,N,N,주례초등학교,MATCHED
S020001035,초읍초등학교,부산진구,N,N,초읍초등학교,MATCHED
S020001890,동양초등학교,부산진구,N,N,동양초등학교,MATCHED
S020001239,구남초등학교,북구,N,N,구남초등학교,MATCHED
S020001240,구포초등학교,북구,N,N,구포초등학교,MATCHED
S020001242,금곡초등학교,북구,N,N,금곡초등학교,MATCHED
S020001243,금창초등학교,북구,N,N,금창초등학교,MATCHED
